tokenID,name,description,file_name,attributes[Wove],attributes[Guilloche],attributes[Bust],attributes[Surcharge],attributes[Aspect],attributes[Device],attributes[Cancel]
1,Perfin #1,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,1.gif,Ivory Wove,Rose Engine,Pilot,No Surcharge,Calm,Goggles,Circular Date
2,Perfin #2,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,2.gif,Buff Wove,Value Tablet,Keeper,Carmine Bar,Stern,Pipe,Wavy Lines
3,Perfin #3,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,3.gif,Azure Wove,Geometric Engine,Captain,Prussian Band,Glance,Medal,Killer Bars
4,Perfin #4,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,4.gif,Sage Wove,Sunburst,Botanist,No Surcharge,Smile,Bare Device,Mint Uncancelled
5,Perfin #5,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,5.gif,Lilac Wove,Lattice,Clerk,Violet Oval,Wink,Spectacles,Circular Date
6,Perfin #6,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,6.gif,Rose Wove,Wave Engine,Warden,Orange Triangle,Shout,Cockade,Mute Killer
7,Perfin #7,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,7.gif,Pearl Wove,Rose Engine,Mapper,No Surcharge,Stern,Bare Device,Wavy Lines
8,Perfin #8,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,8.gif,Grey Wove,Geometric Engine,Signal,Carmine Bar,Calm,Medal,Circular Date
9,Perfin #9,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,9.gif,Ivory Wove,Value Tablet,Captain,Violet Oval,Smile,Goggles,Mint Uncancelled
10,Perfin #10,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,10.gif,Buff Wove,Sunburst,Pilot,Prussian Band,Wink,Bare Device,Killer Bars
11,Perfin #11,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,11.gif,Azure Wove,Lattice,Keeper,No Surcharge,Glance,Cockade,Circular Date
12,Perfin #12,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,12.gif,Sage Wove,Wave Engine,Clerk,Orange Triangle,Calm,Pipe,Mute Killer
13,Perfin #13,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,13.gif,Lilac Wove,Rose Engine,Botanist,Carmine Bar,Shout,Spectacles,Wavy Lines
14,Perfin #14,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,14.gif,Rose Wove,Geometric Engine,Mapper,No Surcharge,Smile,Medal,Circular Date
15,Perfin #15,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,15.gif,Pearl Wove,Value Tablet,Warden,Prussian Band,Stern,Bare Device,Killer Bars
16,Perfin #16,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,16.gif,Grey Wove,Sunburst,Signal,Violet Oval,Wink,Goggles,Mint Uncancelled
