tokenID,name,description,file_name,attributes[Series],attributes[Palette],attributes[Motion],attributes[Season],attributes[Medium],attributes[Family],attributes[Weather]
1,Moonrise Over Still Water,A silver moon climbs a indigo inlet. The water holds the climb a beat later.,1.gif,Afterimages,Indigo Silver,Rise,Night,APNG,Signature,Clear
2,Stained Glass Breath,Jewel panes inhale gold. Lead lines hold while the colors keep changing their mind.,2.gif,Afterimages,Jewel Gold,Pulse,Dusk,APNG,Signature,Clear
3,Petal Storm,Blush petals fall through cream light and never quite land.,3.gif,Afterimages,Blush Cream,Fall,Spring,APNG,Signature,Clear
4,Lighthouse Sweep,An amber beam turns over navy water. Foam remembers the last pass.,4.gif,Afterimages,Navy Amber,Sweep,Night,APNG,Signature,Clear
5,Coral Bloom,Anemones open under teal water. A gold fish threads the bloom.,5.gif,Afterimages,Teal Salmon,Bloom,Tide,APNG,Signature,Clear
6,Neon Dusk,A city silhouette holds still while magenta and cyan signs keep arguing.,6.gif,Afterimages,Magenta Cyan,Flicker,Dusk,APNG,Signature,Clear
7,Firefly Grove,"Dark pines, a wet floor, and gold specks that refuse a single path.",7.gif,Afterimages,Forest Gold,Drift,Night,APNG,Signature,Clear
8,Corona,A black disc covers the sun. The flare keeps finding new edges.,8.gif,Afterimages,Black Gold,Flare,Eclipse,APNG,Signature,Clear
9,Koi Mirror,Orange and white koi turn under a jade surface. The pond is the painting.,9.gif,Afterimages,Jade Orange,Orbit,Garden,APNG,Signature,Clear
10,Heat Shimmer,Dunes wait. The air above them will not.,10.gif,Afterimages,Ochre Sky,Shimmer,Noon,APNG,Signature,Clear
11,Ice Fracture,A frozen lake splits. Light travels the crack before the ice does.,11.gif,Afterimages,Ice Navy,Crack,Winter,APNG,Signature,Clear
12,Nave Light,Stone holds. A honey shaft of dust keeps rewriting the aisle.,12.gif,Afterimages,Stone Honey,Motes,Afternoon,APNG,Signature,Clear
13,Paper Lantern Rain,Warm paper suns hang in a wet street. The rain keeps missing them on purpose.,13.gif,Afterimages,Cinnabar Night,Rain,Night,APNG,Signature,Clear
14,Comet Wake,A pale ember crosses black silk. The wake is longer than the night.,14.gif,Afterimages,Ice Ember,Trail,Void,APNG,Signature,Clear
15,Tide Pool,Stone bowls hold the sea for a minute. Starfish keep the minute.,15.gif,Afterimages,Kelp Sand,Ripple,Tide,APNG,Signature,Clear
16,Aurora Spine,A green vertebra of sky. Violet keeps trying the same thought.,16.gif,Afterimages,Green Violet,Curtain,Winter,APNG,Signature,Clear
17,Candle Window,One room is awake. Moths write circles the house cannot read.,17.gif,Afterimages,Umber Flame,Flicker,Night,APNG,Signature,Clear
18,Fog Bell,A buoy speaks in rings. The fog answers by getting thicker.,18.gif,Afterimages,Pewter Sage,Ring,Fog,APNG,Signature,Clear
19,Greenhouse Rain,"Glass keeps a summer. Outside, the rain is trying to get in.",19.gif,Afterimages,Leaf Glass,Streak,Rain,APNG,Signature,Clear
20,Red Giant,An old star takes up the room. The dark around it is patient.,20.gif,Afterimages,Crimson Coal,Breathe,Void,APNG,Signature,Clear
21,Salt Flats,The ground is a sky that forgot to stand up. Puddles keep the secret.,21.gif,Afterimages,Bone Sky,Gleam,Noon,APNG,Signature,Clear
22,Subway Glow,A tunnel recedes on purpose. Amber lights keep count.,22.gif,Afterimages,Amber Black,Recede,Night,APNG,Signature,Clear
23,Whale Breach,A dark continent of water lifts. Spray writes the return.,23.gif,Afterimages,Deep Silver,Breach,Tide,APNG,Signature,Clear
24,Harvest Field,Wheat takes the wind in rows. The sun stays low so the gold can work.,24.gif,Afterimages,Wheat Dusk,Wave,Harvest,APNG,Signature,Clear
25,Thunderhead,A bruise of cloud holds the spark. The field waits for the same flash twice.,25.gif,Afterimages,Storm Brass,Flash,Storm,APNG,Signature,Clear
26,Moon Gate,A round door frames a rounder moon. Stone pretends not to notice.,26.gif,Afterimages,Ink Silver,Rise,Night,APNG,Signature,Clear
27,Ember Forge,Coals keep a private sun. Sparks leave without asking.,27.gif,Afterimages,Coal Orange,Spark,Night,APNG,Signature,Clear
28,Lotus Night,A pale flower opens on black water. The pond keeps the petals’ secret.,28.gif,Afterimages,Pearl Ink,Open,Night,APNG,Signature,Clear
29,Clockwork Sky,Orbits pretending to be hours. The sky is late on purpose.,29.gif,Afterimages,Brass Night,Turn,Void,APNG,Signature,Clear
30,Snowbound Cabin,One chimney writes in white. The rest of the hill is listening.,30.gif,Afterimages,Pine Snow,Fall,Winter,APNG,Signature,Clear
31,Magma Vein,The rock remembers fire. A crack keeps the memory warm.,31.gif,Afterimages,Obsidian Ember,Pulse,Night,APNG,Signature,Clear
32,Bamboo Wind,Green columns take the wind in shifts. None of them finish first.,32.gif,Afterimages,Jade Mist,Sway,Spring,APNG,Signature,Clear
33,Harbor Cranes,Steel birds sleep standing. Their eyes blink in amber anyway.,33.gif,Afterimages,Rust Sodium,Blink,Dusk,APNG,Signature,Clear
34,Prism Fall,White light forgets itself into color. The floor catches every name.,34.gif,Afterimages,Spectrum Stone,Fall,Afternoon,APNG,Signature,Clear
35,Owl Hollow,A tree keeps two coins of gold. They open only for the dark.,35.gif,Afterimages,Bark Gold,Blink,Night,APNG,Signature,Clear
36,Mirage Well,A circle of water that may not be water. The air argues both ways.,36.gif,Afterimages,Sand Cyan,Wobble,Noon,APNG,Signature,Clear
37,Vinyl Groove,A black sun with a silver path. It turns so the quiet can last.,37.gif,Afterimages,Obsidian Chrome,Spin,Night,APNG,Signature,Clear
38,Bridge Fog,Cables hold a city that the fog has borrowed. Lights remain as IOUs.,38.gif,Afterimages,Pearl Steel,Drift,Fog,APNG,Signature,Clear
39,Radio Tower,A thin needle talks to nowhere. The blink is the whole sentence.,39.gif,Afterimages,Night Red,Beacon,Night,APNG,Signature,Clear
40,Glacier Blue,A wall of old weather. Melt writes a slow signature.,40.gif,Afterimages,Ice Teal,Drip,Winter,APNG,Signature,Clear
41,Sunflower Tilt,Heads follow a sun that already left. They keep the habit anyway.,41.gif,Afterimages,Gold Leaf,Nod,Harvest,APNG,Signature,Clear
42,Ink Bloom,A drop decides to become a garden. Paper has no vote.,42.gif,Afterimages,Sumi Cream,Bloom,Afternoon,APNG,Signature,Clear
43,Terrace Lights,A hillside of small gold rooms. Each one keeps a different hour.,43.gif,Afterimages,Umber Gold,Twinkle,Dusk,APNG,Signature,Clear
44,Meteor Choir,Many brief lines share one sky. None of them stay for the encore.,44.gif,Afterimages,Ash White,Streak,Void,APNG,Signature,Clear
45,Orchid House,A magenta thought in still air. The glass around it fogs on the beat.,45.gif,Afterimages,Magenta Fog,Breathe,Garden,APNG,Signature,Clear
