tokenID,name,description,file_name,attributes[Bench],attributes[Chassis],attributes[Enamel],attributes[Decal],attributes[Key],attributes[Spark],attributes[Wear]
1,Toy #1,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,1.gif,Linoleum Bench,Robot Chassis,Tomato Enamel,Star Decal,Brass Key,Flint Spark,Factory Gloss
2,Toy #2,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,2.gif,Felt Bench,Duck Chassis,Mustard Enamel,Bare Tin,Nickel Key,Quiet Works,Playroom Scuff
3,Toy #3,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,3.gif,Crate Bench,Racer Chassis,Navy Enamel,No. 8 Decal,Painted Key,Flint Spark,Shop Fresh
4,Toy #4,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,4.gif,Enamel Bench,Soldier Chassis,Cream Enamel,Circus Decal,Brass Key,Quiet Works,Rust Bloom
5,Toy #5,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,5.gif,Pine Bench,Monkey Chassis,Cherry Enamel,Star Decal,Nickel Key,Steam Puff,Factory Gloss
6,Toy #6,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,6.gif,Linoleum Bench,Tank Chassis,Chrome Enamel,Lightning Decal,Brass Key,Flint Spark,Playroom Scuff
7,Toy #7,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,7.gif,Felt Bench,Copter Chassis,Mint Enamel,Bare Tin,Painted Key,Steam Puff,Shop Fresh
8,Toy #8,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,8.gif,Crate Bench,Frog Chassis,Tomato Enamel,No. 8 Decal,Nickel Key,Quiet Works,Factory Gloss
9,Toy #9,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,9.gif,Enamel Bench,Robot Chassis,Navy Enamel,Lightning Decal,No Key,Flint Spark,Rust Bloom
10,Toy #10,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,10.gif,Pine Bench,Duck Chassis,Cream Enamel,Circus Decal,Brass Key,Steam Puff,Playroom Scuff
11,Toy #11,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,11.gif,Linoleum Bench,Racer Chassis,Cherry Enamel,Star Decal,Nickel Key,Quiet Works,Shop Fresh
12,Toy #12,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,12.gif,Felt Bench,Soldier Chassis,Mustard Enamel,Bare Tin,Painted Key,Flint Spark,Factory Gloss
13,Toy #13,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,13.gif,Crate Bench,Monkey Chassis,Chrome Enamel,No. 8 Decal,Brass Key,Quiet Works,Rust Bloom
14,Toy #14,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,14.gif,Enamel Bench,Tank Chassis,Mint Enamel,Circus Decal,No Key,Steam Puff,Playroom Scuff
15,Toy #15,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,15.gif,Pine Bench,Copter Chassis,Tomato Enamel,Lightning Decal,Nickel Key,Flint Spark,Factory Gloss
16,Toy #16,A looping wind-up tin toy from Virello. Lithographed enamel on stamped metal. The winding key is the loop. Minted for $0.25 on Robinhood Chain.,16.gif,Linoleum Bench,Frog Chassis,Navy Enamel,Star Decal,Painted Key,Quiet Works,Shop Fresh
