tokenID,name,description,file_name,attributes[Sheet],attributes[Rule],attributes[Specimen],attributes[Joint],attributes[Leader],attributes[Stain],attributes[Chalk]
1,Chart #1,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,1.gif,Cream Sheet,Hair Rule,Cortical,Ring Joint,One Leader,Clean Sheet,Chalk Motes
2,Chart #2,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,2.gif,Night Sheet,Cross Rule,Avian,Dot Joint,Pair Leader,Tea Stain,Clear Air
3,Chart #3,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,3.gif,Ledger Sheet,Dot Rule,Feline,Cross Joint,No Leader,Foxing,Chalk Smear
4,Chart #4,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,4.gif,Aged Sheet,Double Rule,Equine,Tick Joint,One Leader,Coffee Stain,Chalk Dust
5,Chart #5,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,5.gif,Slate Sheet,Hair Rule,Frog,Ring Joint,Pair Leader,Clean Sheet,Chalk Motes
6,Chart #6,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,6.gif,Blush Sheet,Cross Rule,Ape,Dot Joint,No Leader,Tea Stain,Clear Air
7,Chart #7,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,7.gif,Mint Sheet,Dot Rule,Fish,Cross Joint,One Leader,Foxing,Chalk Dust
8,Chart #8,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,8.gif,Vellum Sheet,Double Rule,Serpent,Tick Joint,Pair Leader,Tea Stain,Chalk Smear
9,Chart #9,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,9.gif,Night Sheet,Hair Rule,Cortical,Dot Joint,No Leader,Coffee Stain,Chalk Motes
10,Chart #10,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,10.gif,Cream Sheet,Cross Rule,Feline,Ring Joint,One Leader,Clean Sheet,Chalk Dust
11,Chart #11,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,11.gif,Ledger Sheet,Double Rule,Avian,Tick Joint,One Leader,Foxing,Clear Air
12,Chart #12,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,12.gif,Aged Sheet,Hair Rule,Ape,Cross Joint,Pair Leader,Tea Stain,Chalk Smear
13,Chart #13,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,13.gif,Slate Sheet,Dot Rule,Equine,Ring Joint,No Leader,Coffee Stain,Chalk Motes
14,Chart #14,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,14.gif,Blush Sheet,Hair Rule,Fish,Dot Joint,One Leader,Clean Sheet,Chalk Dust
15,Chart #15,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,15.gif,Mint Sheet,Cross Rule,Serpent,Tick Joint,No Leader,Tea Stain,Clear Air
16,Chart #16,A looping anatomical chart from Ossein. Ivory bone. Hairline ink. Free mint on Robinhood Chain.,16.gif,Vellum Sheet,Double Rule,Frog,Cross Joint,Pair Leader,Foxing,Chalk Smear
