tokenID,name,description,file_name,attributes[Stage],attributes[Lights],attributes[Cast],attributes[Face],attributes[Fit],attributes[Prop]
1,Boogie #1,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,1.gif,Dance Floor,None,Peach Cat,Hype,None,None
2,Boogie #2,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,2.gif,Disco Hall,Disco Glints,Lime Frog,Grin,Shades,Mic
3,Boogie #3,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,3.gif,Rooftop Party,Spotlights,Grape Blob,Party Scream,Hoodie,Boombox
4,Boogie #4,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,4.gif,Neon Alley,Neon Glow,Canary Bird,Wink,Headphones,Vinyl
5,Boogie #5,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,5.gif,Club Booth,Beat Rings,Chrome Robot,Cool,Visor,Glow Sticks
6,Boogie #6,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,6.gif,Backyard Jam,Confetti Burst,Cream Bunny,Heart Eyes,Jacket,Drink
7,Boogie #7,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,7.gif,Warehouse Rave,Spotlights,Blush Pig,Tongue Out,Chain,Trophy
8,Boogie #8,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,8.gif,Disco Hall,Neon Glow,Midnight Cat,Focused,Hoodie,Mic
9,Boogie #9,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,9.gif,Dance Floor,Disco Glints,Teal Frog,Hype,Shades,Glow Sticks
10,Boogie #10,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,10.gif,Rooftop Party,None,Mango Blob,Grin,None,Vinyl
11,Boogie #11,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,11.gif,Neon Alley,Confetti Burst,Indigo Bird,Wink,Jacket,Boombox
12,Boogie #12,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,12.gif,Club Booth,Spotlights,Candy Robot,Party Scream,Headphones,None
13,Boogie #13,A looping jelly-cel dancer from Boogie Squad. Mixed types. One groove. Minted on Robinhood Chain.,13.gif,Backyard Jam,Beat Rings,Peach Cat,Cool,Visor,Drink
