tokenID,name,description,file_name,attributes[Venue],attributes[Glow],attributes[Panda],attributes[Mood],attributes[Fit],attributes[Extra]
1,Party Panda #1,A looping party-panda PFP stacked from trait layers. Minted on Base.,1.gif,Disco Night,Disco Pulse,Classic,Blink,Party Hat,Confetti
2,Party Panda #2,A looping party-panda PFP stacked from trait layers. Minted on Base.,2.gif,Neon Club,Laser Sweep,Dancer,Shades,Headphones,Boombox
3,Party Panda #3,A looping party-panda PFP stacked from trait layers. Minted on Base.,3.gif,Bamboo Lounge,Neon Ring,Chubby,Heart,Lei,Balloon
4,Party Panda #4,A looping party-panda PFP stacked from trait layers. Minted on Base.,4.gif,Rooftop Glow,No glow,Tuxedo,Wink,Bowtie,Cocktail
5,Party Panda #5,A looping party-panda PFP stacked from trait layers. Minted on Base.,5.gif,Candy Rave,Sparkle Burst,Cub,Spark,Tiny Crown,None
6,Party Panda #6,A looping party-panda PFP stacked from trait layers. Minted on Base.,6.gif,Moonlight,Champagne Haze,Peach,Sleepy,Bare head,Sparkler
7,Party Panda #7,A looping party-panda PFP stacked from trait layers. Minted on Base.,7.gif,Confetti Hall,Disco Pulse,Classic,Shades,Disco Afro,Confetti
8,Party Panda #8,A looping party-panda PFP stacked from trait layers. Minted on Base.,8.gif,Garden Party,Sparkle Burst,Chubby,Blink,Party Hat,Balloon
9,Party Panda #9,A looping party-panda PFP stacked from trait layers. Minted on Base.,9.gif,Disco Night,Laser Sweep,Dancer,Heart,Tiny Crown,Sparkler
10,Party Panda #10,A looping party-panda PFP stacked from trait layers. Minted on Base.,10.gif,Neon Club,Neon Ring,Cub,Wink,Headphones,None
11,Party Panda #11,A looping party-panda PFP stacked from trait layers. Minted on Base.,11.gif,Bamboo Lounge,No glow,Peach,Sleepy,Lei,Cocktail
12,Party Panda #12,A looping party-panda PFP stacked from trait layers. Minted on Base.,12.gif,Rooftop Glow,Champagne Haze,Tuxedo,Blink,Bowtie,Boombox
13,Party Panda #13,A looping party-panda PFP stacked from trait layers. Minted on Base.,13.gif,Candy Rave,Disco Pulse,Classic,Spark,Disco Afro,Confetti
14,Party Panda #14,A looping party-panda PFP stacked from trait layers. Minted on Base.,14.gif,Moonlight,Laser Sweep,Dancer,Shades,Bare head,Balloon
15,Party Panda #15,A looping party-panda PFP stacked from trait layers. Minted on Base.,15.gif,Confetti Hall,Sparkle Burst,Chubby,Heart,Party Hat,None
16,Party Panda #16,A looping party-panda PFP stacked from trait layers. Minted on Base.,16.gif,Garden Party,Champagne Haze,Cub,Blink,Tiny Crown,Sparkler
