tokenID,name,description,file_name,attributes[Cloth],attributes[Ember],attributes[Cast],attributes[Hinge],attributes[Cutwork],attributes[Leaf],attributes[Soot]
1,Shade #1,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,1.gif,Parchment Screen,Oil Lamp,Clown,Brass Brad,Dot Lace,Gold Rim,Soot Motes
2,Shade #2,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,2.gif,Dusk Screen,Coal Glow,Knight,Iron Brad,Solid Hide,Gold Tips,Spark Rise
3,Shade #3,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,3.gif,Saffron Screen,Dawn Glow,Bride,Pearl Brad,Star Lace,Full Leaf,Smoke Ribbon
4,Shade #4,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,4.gif,Indigo Screen,Moon Glow,Ogre,Rust Brad,Diamond Lace,Bare Hide,Lamp Haze
5,Shade #5,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,5.gif,Rose Screen,Hearth Glow,Sage,Brass Brad,Vine Lace,Gold Rim,Clear Air
6,Shade #6,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,6.gif,Brass Screen,Forge Glow,Harper,No Hinge,Dot Lace,Gold Dust,Soot Motes
7,Shade #7,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,7.gif,Smoke Screen,Oil Lamp,Bird,Pearl Brad,Star Lace,Gold Tips,Smoke Ribbon
8,Shade #8,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,8.gif,Ash Screen,Coal Glow,Demon,Iron Brad,Solid Hide,Full Leaf,Spark Rise
9,Shade #9,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,9.gif,Parchment Screen,Hearth Glow,Knight,Brass Brad,Vine Lace,Bare Hide,Lamp Haze
10,Shade #10,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,10.gif,Dusk Screen,Dawn Glow,Clown,No Hinge,Diamond Lace,Gold Dust,Soot Motes
11,Shade #11,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,11.gif,Saffron Screen,Moon Glow,Ogre,Pearl Brad,Dot Lace,Gold Rim,Clear Air
12,Shade #12,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,12.gif,Indigo Screen,Forge Glow,Bride,Rust Brad,Solid Hide,Gold Tips,Spark Rise
13,Shade #13,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,13.gif,Rose Screen,Oil Lamp,Bird,Brass Brad,Star Lace,Full Leaf,Smoke Ribbon
14,Shade #14,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,14.gif,Brass Screen,Coal Glow,Sage,Iron Brad,Diamond Lace,Bare Hide,Lamp Haze
15,Shade #15,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,15.gif,Smoke Screen,Hearth Glow,Demon,Pearl Brad,Vine Lace,Gold Dust,Soot Motes
16,Shade #16,A looping shadow puppet from Umbra. Leather silhouette. Hinged limbs. One lamp. Free mint on Robinhood Chain.,16.gif,Ash Screen,Dawn Glow,Harper,Rust Brad,Star Lace,Gold Rim,Spark Rise
