tokenID,name,description,file_name,attributes[Booth],attributes[Latex],attributes[Twist],attributes[Knot],attributes[Valve],attributes[Gleam],attributes[Confetti]
1,Twist #1,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,1.gif,Curtain Booth,Red Latex,Hound Twist,Ear Knot,Silver Valve,Tight Gleam,Dot Confetti
2,Twist #2,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,2.gif,Circus Booth,Yellow Latex,Hare Twist,Nose Knot,Gold Valve,Wide Gleam,Stream Confetti
3,Twist #3,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,3.gif,Night Booth,Blue Latex,Steed Twist,Waist Knot,Black Valve,Tight Gleam,Clear Air
4,Twist #4,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,4.gif,Stripe Booth,Pink Latex,Swan Twist,Ear Knot,Silver Valve,Wide Gleam,Mix Confetti
5,Twist #5,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,5.gif,Tile Booth,Green Latex,Monkey Twist,No Knot,Gold Valve,Tight Gleam,Dot Confetti
6,Twist #6,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,6.gif,Dusk Booth,Orange Latex,Dino Twist,Waist Knot,Black Valve,Matte,Stream Confetti
7,Twist #7,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,7.gif,Paper Booth,White Latex,Poodle Twist,Nose Knot,Silver Valve,Wide Gleam,Mix Confetti
8,Twist #8,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,8.gif,Plaid Booth,Purple Latex,Figure Twist,Ear Knot,Gold Valve,Tight Gleam,Dot Confetti
9,Twist #9,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,9.gif,Night Booth,Red Latex,Swan Twist,Waist Knot,No Valve,Wide Gleam,Stream Confetti
10,Twist #10,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,10.gif,Curtain Booth,Blue Latex,Hare Twist,Nose Knot,Silver Valve,Matte,Mix Confetti
11,Twist #11,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,11.gif,Circus Booth,Green Latex,Hound Twist,Ear Knot,Black Valve,Tight Gleam,Clear Air
12,Twist #12,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,12.gif,Stripe Booth,Purple Latex,Dino Twist,Waist Knot,Gold Valve,Wide Gleam,Dot Confetti
13,Twist #13,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,13.gif,Tile Booth,Orange Latex,Poodle Twist,No Knot,Silver Valve,Tight Gleam,Stream Confetti
14,Twist #14,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,14.gif,Dusk Booth,Pink Latex,Figure Twist,Nose Knot,No Valve,Wide Gleam,Mix Confetti
15,Twist #15,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,15.gif,Paper Booth,Yellow Latex,Monkey Twist,Ear Knot,Black Valve,Matte,Dot Confetti
16,Twist #16,A looping balloon twist from Vinylon. Inflated tubes. Knots. Specular shine. Free mint on Robinhood Chain.,16.gif,Plaid Booth,White Latex,Steed Twist,Waist Knot,Gold Valve,Tight Gleam,Stream Confetti
