tokenID,name,description,file_name,attributes[Pad],attributes[Glow],attributes[Pelt],attributes[Fit],attributes[Mug],attributes[Gear]
1,Purrkin #1,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,1.gif,Teal Desk,Mint Halo,Cream,Forest Hoodie,Blink,Headphones
2,Purrkin #2,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,2.gif,Blush,Sparkle,Ginger,Blue Tee,Wink,Back Cap
3,Purrkin #3,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,3.gif,Lilac,Blush Bloom,Calico,Clay Cardigan,Heart,Bucket Hat
4,Purrkin #4,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,4.gif,Mint,Gold Dust,Matcha,Cream Polo,Spark,Coffee
5,Purrkin #5,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,5.gif,Night Desk,Mint Halo,Soot,Ink Jacket,Grin,Shades
6,Purrkin #6,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,6.gif,Cream,No glow,Mist,No fit,Sleepy,Beanie
7,Purrkin #7,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,7.gif,Peach,Sparkle,Cream,Forest Hoodie,Wide,Phone
8,Purrkin #8,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,8.gif,Slate,Gold Dust,Ginger,Ink Jacket,Blink,None
9,Purrkin #9,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,9.gif,Teal Desk,No glow,Matcha,Blue Tee,Wink,Headphones
10,Purrkin #10,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,10.gif,Blush,Blush Bloom,Soot,Clay Cardigan,Sleepy,Coffee
11,Purrkin #11,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,11.gif,Lilac,Mint Halo,Mist,Cream Polo,Grin,Back Cap
12,Purrkin #12,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,12.gif,Mint,Sparkle,Calico,Forest Hoodie,Spark,None
13,Purrkin #13,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,13.gif,Night Desk,Gold Dust,Cream,No fit,Heart,Bucket Hat
14,Purrkin #14,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,14.gif,Cream,Mint Halo,Ginger,Ink Jacket,Wide,Shades
15,Purrkin #15,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,15.gif,Peach,No glow,Matcha,Clay Cardigan,Blink,Beanie
16,Purrkin #16,A looping chibi-cat PFP. Ears twitch. The tail sways. Minted on HyperEVM.,16.gif,Slate,Blush Bloom,Calico,Blue Tee,Wink,Phone
