tokenID,name,description,file_name,attributes[Stock],attributes[Screen],attributes[Figure],attributes[Pass],attributes[Knockout],attributes[Slug],attributes[Mark]
1,Print #1,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,1.gif,Cream Sheet,Rosa Mesh,Kick,Smock Pass,Grin,Kerchief,Reg Ticks
2,Print #2,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,2.gif,Kraft Sheet,Navy Mesh,Stomp,Smock Pass,Shout,Burst,Ink Splash
3,Print #3,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,3.gif,Mint Sheet,Aqua Mesh,Twirl,Flare Pass,Wink,Bow,Star Burst
4,Print #4,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,4.gif,Ice Sheet,Gild Mist,Glide,Wrap Pass,Calm,Brim,Clean Grip
5,Print #5,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,5.gif,Blush Sheet,Ember Dust,Hop,Bib Pass,Dots,Clear Slug,Crop Marks
6,Print #6,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,6.gif,Lemon Sheet,Rosa Mesh,Pop,Cuff Pass,Focus,Kerchief,Reg Ticks
7,Print #7,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,7.gif,Fog Sheet,Bare Stock,Sway,Open Plate,Grin,Bow,Clean Grip
8,Print #8,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,8.gif,Recycled Sheet,Aqua Mesh,Reach,Sash Pass,Shout,Burst,Star Burst
9,Print #9,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,9.gif,Cream Sheet,Gild Mist,Twirl,Smock Pass,Calm,Brim,Crop Marks
10,Print #10,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,10.gif,Kraft Sheet,Ember Dust,Kick,Flare Pass,Wink,Clear Slug,Ink Splash
11,Print #11,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,11.gif,Mint Sheet,Navy Mesh,Stomp,Wrap Pass,Dots,Kerchief,Reg Ticks
12,Print #12,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,12.gif,Ice Sheet,Rosa Mesh,Glide,Bib Pass,Focus,Bow,Clean Grip
13,Print #13,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,13.gif,Blush Sheet,Bare Stock,Hop,Open Plate,Shout,Burst,Star Burst
14,Print #14,A looping risograph dancer from Risota. Spot ink. Misregister. One clock. Minted on Robinhood Chain.,14.gif,Lemon Sheet,Aqua Mesh,Pop,Sash Pass,Grin,Brim,Crop Marks
