tokenID,name,description,file_name,attributes[Atmosphere],attributes[Complexion],attributes[Tailoring],attributes[Coiffure],attributes[Visage],attributes[Cadence],attributes[Adornment],attributes[Signal]
1,Street Heir #1,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",1.png,Midnight Grid,Deep Umber / Angular,Signal Bomber,Loc Crown,Steady,Silver Tooth,Gold Hoops,Offset Halo
2,Street Heir #2,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",2.png,Cobalt Sun,Mahogany / Broad,Varsity Archive,Box Braids,Side Eye,Berry Gloss,Nose Ring,Crop Code
3,Street Heir #3,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",3.png,Amber Blocks,Sienna / Soft Jaw,Heavy Hoodie,High Puff,Soft Blink,Gap Grin,Pearl Line,Type Bars
4,Street Heir #4,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",4.png,Jade Arc,Copper / High Cheek,Workwear Blue,Sculpted Twists,Joy Lines,Half Smile,Ear Cuff,Orbit Lines
5,Street Heir #5,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",5.png,Violet Broadcast,Golden Brown / Tapered,Ribbed Turtleneck,Wave Crop,Amber Shades,Calm,Curb Chain,Prism Slice
6,Street Heir #6,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",6.png,Crimson Check,Olive / Square,Patched Denim,Temple Fade,Clear Frames,Fine Mustache,Silver Studs,Sound Wave
7,Street Heir #7,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",7.png,Paper Blue,Warm Beige / Heart,Football Knit,Buzz Design,Future Visor,Chin Stripe,Safety Pin,Pixel Flare
8,Street Heir #8,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",8.png,Acid Window,Cool Porcelain / Long,Track Panel,Bandana Curls,Star Liner,Berry Gloss,Gold Hoops,Double Exposure
9,Street Heir #9,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",9.png,Paper Blue,Deep Umber / Angular,Quilted Vest,Beanie Coils,Joy Lines,Short Beard,Ear Cuff,Corner Stamps
10,Street Heir #10,"Street Heirs celebrates personal style, neighborhood craft, and the graphic language of the city. Authentic hair, tailoring, jewelry, and expression meet restrained broadcast signals in 5,555 clean-cartoon portraits on Robinhood Chain.",10.png,Midnight Grid,Mahogany / Broad,Longline Coat,Durag Tails,Soft Blink,Silver Tooth,Pearl Line,Prism Slice
