tokenID,name,description,file_name,attributes[Wove],attributes[Guilloche],attributes[Bust],attributes[Surcharge],attributes[Aspect],attributes[Device],attributes[Cancel]
1,Perfin #1,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,1.gif,Ivory Wove,Rose Engine,Pilot,No Surcharge,Calm,Goggles,Circular Date
2,Perfin #2,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,2.gif,Buff Wove,Value Tablet,Keeper,Carmine Bar,Stern,Pipe,Wavy Lines
3,Perfin #3,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,3.gif,Azure Wove,Geometric Engine,Captain,Prussian Band,Glance,Medal,Killer Bars
4,Perfin #4,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,4.gif,Sage Wove,Sunburst,Botanist,No Surcharge,Smile,Bare Device,Mint Uncancelled
5,Perfin #5,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,5.gif,Lilac Wove,Lattice,Clerk,Violet Oval,Wink,Spectacles,Circular Date
6,Perfin #6,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,6.gif,Rose Wove,Wave Engine,Warden,Orange Triangle,Shout,Cockade,Mute Killer
7,Perfin #7,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,7.gif,Pearl Wove,Rose Engine,Mapper,No Surcharge,Stern,Bare Device,Wavy Lines
8,Perfin #8,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,8.gif,Grey Wove,Geometric Engine,Signal,Carmine Bar,Calm,Medal,Circular Date
9,Perfin #9,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,9.gif,Ivory Wove,Value Tablet,Captain,Violet Oval,Smile,Goggles,Mint Uncancelled
10,Perfin #10,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,10.gif,Buff Wove,Sunburst,Pilot,Prussian Band,Wink,Bare Device,Killer Bars
11,Perfin #11,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,11.gif,Azure Wove,Lattice,Keeper,No Surcharge,Glance,Cockade,Circular Date
12,Perfin #12,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,12.gif,Sage Wove,Wave Engine,Clerk,Orange Triangle,Calm,Pipe,Mute Killer
13,Perfin #13,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,13.gif,Lilac Wove,Rose Engine,Botanist,Carmine Bar,Shout,Spectacles,Wavy Lines
14,Perfin #14,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,14.gif,Rose Wove,Geometric Engine,Mapper,No Surcharge,Smile,Medal,Circular Date
15,Perfin #15,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,15.gif,Pearl Wove,Value Tablet,Warden,Prussian Band,Stern,Bare Device,Killer Bars
16,Perfin #16,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,16.gif,Grey Wove,Sunburst,Signal,Violet Oval,Wink,Goggles,Mint Uncancelled
17,Perfin #17,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,17.gif,Sage Wove,Geometric Engine,Clerk,Prussian Band,Wink,Bare Device,Mint Uncancelled
18,Perfin #18,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,18.gif,Grey Wove,Sunburst,Signal,Violet Oval,Shout,Medal,Wavy Lines
19,Perfin #19,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,19.gif,Sage Wove,Value Tablet,Signal,Violet Oval,Calm,Bare Device,Mint Uncancelled
20,Perfin #20,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,20.gif,Ivory Wove,Geometric Engine,Pilot,Violet Oval,Smile,Cockade,Circular Date
21,Perfin #21,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,21.gif,Grey Wove,Value Tablet,Captain,Violet Oval,Calm,Goggles,Mint Uncancelled
22,Perfin #22,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,22.gif,Pearl Wove,Sunburst,Captain,Prussian Band,Stern,Spectacles,Circular Date
23,Perfin #23,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,23.gif,Rose Wove,Sunburst,Pilot,Carmine Bar,Calm,Medal,Mute Killer
24,Perfin #24,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,24.gif,Rose Wove,Rose Engine,Captain,Prussian Band,Stern,Cockade,Mint Uncancelled
25,Perfin #25,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,25.gif,Lilac Wove,Lattice,Signal,Orange Triangle,Glance,Bare Device,Circular Date
26,Perfin #26,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,26.gif,Ivory Wove,Wave Engine,Botanist,Orange Triangle,Calm,Pipe,Mute Killer
27,Perfin #27,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,27.gif,Buff Wove,Value Tablet,Mapper,No Surcharge,Stern,Goggles,Wavy Lines
28,Perfin #28,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,28.gif,Ivory Wove,Geometric Engine,Botanist,Carmine Bar,Stern,Bare Device,Wavy Lines
29,Perfin #29,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,29.gif,Pearl Wove,Rose Engine,Warden,Prussian Band,Shout,Spectacles,Wavy Lines
30,Perfin #30,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,30.gif,Grey Wove,Value Tablet,Pilot,Orange Triangle,Calm,Bare Device,Circular Date
31,Perfin #31,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,31.gif,Pearl Wove,Value Tablet,Clerk,Carmine Bar,Smile,Cockade,Circular Date
32,Perfin #32,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,32.gif,Pearl Wove,Value Tablet,Botanist,No Surcharge,Shout,Bare Device,Mint Uncancelled
33,Perfin #33,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,33.gif,Pearl Wove,Wave Engine,Keeper,Orange Triangle,Shout,Spectacles,Mint Uncancelled
34,Perfin #34,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,34.gif,Azure Wove,Wave Engine,Captain,Violet Oval,Stern,Cockade,Mint Uncancelled
35,Perfin #35,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,35.gif,Ivory Wove,Geometric Engine,Clerk,Orange Triangle,Glance,Cockade,Mute Killer
36,Perfin #36,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,36.gif,Grey Wove,Geometric Engine,Keeper,No Surcharge,Calm,Bare Device,Mute Killer
37,Perfin #37,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,37.gif,Azure Wove,Value Tablet,Clerk,No Surcharge,Calm,Pipe,Circular Date
38,Perfin #38,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,38.gif,Grey Wove,Geometric Engine,Captain,Prussian Band,Wink,Spectacles,Circular Date
39,Perfin #39,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,39.gif,Pearl Wove,Sunburst,Warden,Orange Triangle,Glance,Goggles,Circular Date
40,Perfin #40,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,40.gif,Buff Wove,Sunburst,Signal,No Surcharge,Calm,Goggles,Killer Bars
41,Perfin #41,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,41.gif,Lilac Wove,Rose Engine,Warden,Prussian Band,Shout,Bare Device,Mute Killer
42,Perfin #42,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,42.gif,Lilac Wove,Geometric Engine,Mapper,No Surcharge,Wink,Cockade,Wavy Lines
43,Perfin #43,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,43.gif,Grey Wove,Geometric Engine,Mapper,Carmine Bar,Calm,Bare Device,Circular Date
44,Perfin #44,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,44.gif,Azure Wove,Geometric Engine,Captain,Carmine Bar,Shout,Bare Device,Killer Bars
45,Perfin #45,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,45.gif,Buff Wove,Value Tablet,Captain,Orange Triangle,Stern,Medal,Mute Killer
46,Perfin #46,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,46.gif,Buff Wove,Value Tablet,Pilot,Violet Oval,Smile,Medal,Circular Date
47,Perfin #47,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,47.gif,Buff Wove,Wave Engine,Mapper,Violet Oval,Wink,Spectacles,Killer Bars
48,Perfin #48,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,48.gif,Ivory Wove,Geometric Engine,Warden,Carmine Bar,Glance,Cockade,Circular Date
49,Perfin #49,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,49.gif,Pearl Wove,Lattice,Pilot,Carmine Bar,Wink,Pipe,Wavy Lines
50,Perfin #50,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,50.gif,Sage Wove,Geometric Engine,Signal,Prussian Band,Smile,Pipe,Mute Killer
51,Perfin #51,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,51.gif,Ivory Wove,Lattice,Keeper,Carmine Bar,Calm,Medal,Mint Uncancelled
52,Perfin #52,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,52.gif,Ivory Wove,Sunburst,Clerk,No Surcharge,Stern,Bare Device,Wavy Lines
53,Perfin #53,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,53.gif,Lilac Wove,Sunburst,Keeper,Orange Triangle,Wink,Bare Device,Circular Date
54,Perfin #54,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,54.gif,Pearl Wove,Wave Engine,Captain,Violet Oval,Wink,Bare Device,Mint Uncancelled
55,Perfin #55,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,55.gif,Ivory Wove,Sunburst,Mapper,Orange Triangle,Calm,Goggles,Circular Date
56,Perfin #56,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,56.gif,Ivory Wove,Rose Engine,Warden,Violet Oval,Calm,Medal,Circular Date
57,Perfin #57,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,57.gif,Buff Wove,Sunburst,Botanist,No Surcharge,Calm,Bare Device,Mint Uncancelled
58,Perfin #58,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,58.gif,Buff Wove,Lattice,Signal,Violet Oval,Smile,Bare Device,Mute Killer
59,Perfin #59,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,59.gif,Sage Wove,Value Tablet,Signal,Carmine Bar,Wink,Medal,Mute Killer
60,Perfin #60,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,60.gif,Rose Wove,Wave Engine,Keeper,Carmine Bar,Shout,Cockade,Mute Killer
61,Perfin #61,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,61.gif,Azure Wove,Value Tablet,Clerk,Carmine Bar,Smile,Medal,Mint Uncancelled
62,Perfin #62,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,62.gif,Sage Wove,Value Tablet,Clerk,No Surcharge,Glance,Goggles,Killer Bars
63,Perfin #63,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,63.gif,Lilac Wove,Wave Engine,Captain,Carmine Bar,Calm,Cockade,Mint Uncancelled
64,Perfin #64,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,64.gif,Pearl Wove,Rose Engine,Pilot,Orange Triangle,Shout,Goggles,Mint Uncancelled
65,Perfin #65,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,65.gif,Pearl Wove,Sunburst,Captain,Orange Triangle,Glance,Goggles,Circular Date
66,Perfin #66,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,66.gif,Grey Wove,Sunburst,Clerk,No Surcharge,Stern,Spectacles,Killer Bars
67,Perfin #67,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,67.gif,Ivory Wove,Geometric Engine,Clerk,Carmine Bar,Stern,Medal,Mint Uncancelled
68,Perfin #68,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,68.gif,Azure Wove,Lattice,Captain,No Surcharge,Smile,Goggles,Mint Uncancelled
69,Perfin #69,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,69.gif,Buff Wove,Sunburst,Mapper,Carmine Bar,Smile,Medal,Mint Uncancelled
70,Perfin #70,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,70.gif,Buff Wove,Lattice,Pilot,Prussian Band,Wink,Bare Device,Mint Uncancelled
71,Perfin #71,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,71.gif,Ivory Wove,Rose Engine,Botanist,Carmine Bar,Glance,Pipe,Wavy Lines
72,Perfin #72,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,72.gif,Grey Wove,Lattice,Mapper,Carmine Bar,Stern,Pipe,Wavy Lines
73,Perfin #73,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,73.gif,Azure Wove,Value Tablet,Pilot,No Surcharge,Calm,Cockade,Mint Uncancelled
74,Perfin #74,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,74.gif,Pearl Wove,Geometric Engine,Botanist,Orange Triangle,Smile,Bare Device,Mint Uncancelled
75,Perfin #75,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,75.gif,Lilac Wove,Rose Engine,Keeper,No Surcharge,Wink,Spectacles,Mint Uncancelled
76,Perfin #76,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,76.gif,Pearl Wove,Value Tablet,Pilot,Prussian Band,Stern,Medal,Mint Uncancelled
77,Perfin #77,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,77.gif,Ivory Wove,Lattice,Signal,Carmine Bar,Calm,Bare Device,Wavy Lines
78,Perfin #78,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,78.gif,Rose Wove,Value Tablet,Pilot,Prussian Band,Wink,Pipe,Circular Date
79,Perfin #79,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,79.gif,Ivory Wove,Sunburst,Botanist,Carmine Bar,Calm,Cockade,Mint Uncancelled
80,Perfin #80,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,80.gif,Buff Wove,Rose Engine,Mapper,Carmine Bar,Glance,Cockade,Mute Killer
81,Perfin #81,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,81.gif,Rose Wove,Geometric Engine,Pilot,No Surcharge,Wink,Spectacles,Mint Uncancelled
82,Perfin #82,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,82.gif,Sage Wove,Sunburst,Clerk,No Surcharge,Wink,Goggles,Wavy Lines
83,Perfin #83,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,83.gif,Rose Wove,Sunburst,Botanist,Prussian Band,Glance,Pipe,Wavy Lines
84,Perfin #84,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,84.gif,Buff Wove,Lattice,Botanist,No Surcharge,Smile,Bare Device,Wavy Lines
85,Perfin #85,A looping engraved postage stamp from Perfin. Intaglio hatch. Walking cancel. One clock. Free mint on Robinhood Chain.,85.gif,Pearl Wove,Lattice,Keeper,No Surcharge,Wink,Bare Device,Mint Uncancelled
