tokenID,name,description,file_name,attributes[Field],attributes[Plumage],attributes[Mug],attributes[Accent]
1,Birb #1,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,1.gif,White,Brown,Blep,None
2,Birb #2,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,2.gif,Blush,Pink,Heart,Bow
3,Birb #3,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,3.gif,Mint,Green,Normal,Leaf
4,Birb #4,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,4.gif,Sky,Blue,Wide,Flower
5,Birb #5,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,5.gif,Cream,Snow,Sleepy,None
6,Birb #6,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,6.gif,Peach,Gold,Sparkly,Berry
7,Birb #7,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,7.gif,Dusk,Dusk,Wink,Worm
8,Birb #8,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,8.gif,Forest,Brown,Sad,Leaf
9,Birb #9,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,9.gif,Space,Void,Starry,Crown
10,Birb #10,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,10.gif,Cream,Rainbow,Sparkly,None
11,Birb #11,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,11.gif,Blush,Snow,Normal,Hat
12,Birb #12,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,12.gif,Mint,Gold,Sleepy,Flower
13,Birb #13,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,13.gif,Sky,Pink,Sparkly,Bandana
14,Birb #14,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,14.gif,Peach,Frost,Heart,None
15,Birb #15,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,15.gif,Dusk,Blue,Angry,Worm
16,Birb #16,A looping BirbNation robin PFP. Painted 3D volume. Glossy eyes. Minted on Robinhood Chain.,16.gif,Forest,Void,Normal,Leaf
