tokenID,name,description,file_name,attributes[Sill],attributes[Socket],attributes[Flask],attributes[Serum],attributes[Melt],attributes[Coil],attributes[Lid]
1,Lamp #1,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,1.gif,Wood Sill,Rocket Socket,Taper Flask,Cyan Serum,Crimson Melt,Orange Coil,Chrome Lid
2,Lamp #2,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,2.gif,Formica Sill,Saucer Socket,Cylinder Flask,Amber Serum,Gold Melt,Dim Coil,No Lid
3,Lamp #3,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,3.gif,Velvet Sill,Cone Socket,Teardrop Flask,Violet Serum,Magenta Melt,White-Hot Coil,Gold Lid
4,Lamp #4,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,4.gif,Tile Sill,Cube Socket,Bulb Flask,Green Serum,White Melt,Orange Coil,Painted Lid
5,Lamp #5,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,5.gif,Night Sill,Mushroom Socket,Taper Flask,Clear Serum,Black Melt,Dim Coil,Chrome Lid
6,Lamp #6,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,6.gif,Wood Sill,Chrome Socket,Cylinder Flask,Cyan Serum,Gold Melt,White-Hot Coil,No Lid
7,Lamp #7,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,7.gif,Formica Sill,Walnut Socket,Teardrop Flask,Amber Serum,Crimson Melt,Orange Coil,Gold Lid
8,Lamp #8,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,8.gif,Velvet Sill,Ceramic Socket,Bulb Flask,Violet Serum,White Melt,Dim Coil,Painted Lid
9,Lamp #9,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,9.gif,Tile Sill,Rocket Socket,Cylinder Flask,Green Serum,Magenta Melt,White-Hot Coil,Chrome Lid
10,Lamp #10,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,10.gif,Night Sill,Saucer Socket,Taper Flask,Clear Serum,Gold Melt,Orange Coil,No Lid
11,Lamp #11,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,11.gif,Wood Sill,Cone Socket,Bulb Flask,Cyan Serum,Black Melt,Dim Coil,Gold Lid
12,Lamp #12,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,12.gif,Formica Sill,Cube Socket,Teardrop Flask,Amber Serum,White Melt,Orange Coil,Painted Lid
13,Lamp #13,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,13.gif,Velvet Sill,Mushroom Socket,Cylinder Flask,Violet Serum,Crimson Melt,White-Hot Coil,Chrome Lid
14,Lamp #14,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,14.gif,Tile Sill,Chrome Socket,Taper Flask,Green Serum,Magenta Melt,Dim Coil,No Lid
15,Lamp #15,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,15.gif,Night Sill,Walnut Socket,Bulb Flask,Clear Serum,Gold Melt,Orange Coil,Gold Lid
16,Lamp #16,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,16.gif,Wood Sill,Ceramic Socket,Teardrop Flask,Cyan Serum,White Melt,White-Hot Coil,Painted Lid
17,Lamp #17,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,17.gif,Wood Sill,Mushroom Socket,Bulb Flask,Cyan Serum,Gold Melt,White-Hot Coil,Chrome Lid
18,Lamp #18,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,18.gif,Tile Sill,Mushroom Socket,Cylinder Flask,Violet Serum,Crimson Melt,Dim Coil,No Lid
19,Lamp #19,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,19.gif,Formica Sill,Mushroom Socket,Cylinder Flask,Violet Serum,White Melt,White-Hot Coil,No Lid
20,Lamp #20,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,20.gif,Tile Sill,Rocket Socket,Cylinder Flask,Clear Serum,Crimson Melt,Dim Coil,Gold Lid
21,Lamp #21,A looping lava lamp from Cera. Paraffin in a glass flask on a nightstand. The wax is the loop. Minted for $0.25 on Robinhood Chain.,21.gif,Formica Sill,Rocket Socket,Teardrop Flask,Clear Serum,Crimson Melt,White-Hot Coil,No Lid
