tokenID,name,description,file_name,attributes[Medium],attributes[Motion],attributes[Palette],attributes[Edition]
1,Shift Block,Three enamel slabs refuse to share an edge. The red one keeps the beat.,1.gif,Hard-edge enamel,Slide,Primary enamel,Open
2,Two Plate Offset,Fluorescent pink and teal miss each other on purpose. The overlap is the print.,2.gif,Risograph,Misregister,Pink teal pulp,Open
3,Phosphor Hold,A green reticle waits on a dead monitor. The raster still believes in work.,3.gif,CRT phosphor,Raster roll,Phosphor black,Open
4,Tide Cut,A block of cream paper takes the tide in carved strokes. Nothing here blends.,4.gif,Woodcut,Gouge,Sumi cream,Open
5,Seed Field,A meadow that is only dots. The bloom walks; the ground never draws a line.,5.gif,Pointillism,Bloom walk,Seed ochre,Open
6,Proof Sheet,A construction that never became a building. The white line is still deciding.,6.gif,Cyanotype,Draw,Prussian white,Open
7,Torn Stack,Four leftover sheets refuse a tidy stack. One scrap keeps leaving the pile.,7.gif,Paper collage,Lift,Scrap stock,Open
8,Interference,Two ring families argue in black and white. The moiré is the only subject.,8.gif,Op-art,Phase,Ink paper,Open
9,Hold Still,A night that refuses a subject. The grain is the only thing that moves.,9.gif,Silver grain,Crawl,Night silver,Open
10,Tube Script,A glyph that is only glass and gas. The current travels; the word never arrives.,10.gif,Neon tube,Flicker,Magenta night,Open
11,Pressed Leaf,A specimen plate with no garden behind it. The midrib darkens as the press holds.,11.gif,Herbarium ink,Settle,Plate umber,Open
12,Trace Board,A board with no device. Gold pads wait. One trace finally takes current.,12.gif,Solder mask,Current,Mask gold,Open
13,Nine Patch,Nine fabrics share a seam allowance. The center square keeps inhaling thread.,13.gif,Quilt,Stitch,Calico,Open
14,Calcite,A slab of stone with nothing carved into it. The veins keep changing their mind.,14.gif,Polished stone,Migrate,Calcite ink,Open
15,Night Plate,A catalog of lights with no myth attached. The plate turns a few degrees and stops.,15.gif,Star plate,Turn,Navy silver,Open
16,Tesserae,A wall of glass squares with no picture in mind. Light crosses them anyway.,16.gif,Glass mosaic,Gleam,Grout jewel,Open
17,Rime,Ice writes a tree on cold glass. The growth is the drawing.,17.gif,Frost,Grow,Ice pane,Open
18,Plume,Pigment forgets it had an edge. The rise is slower than smoke and thicker than air.,18.gif,Ink in water,Rise,Indigo milk,Open
19,Lockup,One letter takes the whole chase. The impression deepens; the alphabet stays out of it.,19.gif,Letterpress,Impression,Bone vermilion,Open
20,Fold Plane,A sheet that has already been thought through. One valley keeps changing its mind.,20.gif,Crease pattern,Breathe,Paper graphite,Open
21,Hatch Dune,A map of a place that is only height. The wind rewrites the contours.,21.gif,Contour hatch,Wind,Sepia dust,Open
22,Lead Light,"Jewel glass held by lead. No glow, no wash — only a pane that changes its mind.",22.gif,Leaded glass,Cycle,Jewel lead,Open
23,Punch,A card that stores nothing you can read. The holes advance; the meaning stays out.,23.gif,Punch card,Advance,Manila void,Open
24,Wet Bloom,Water gets there first. Pigment follows and refuses a border.,24.gif,Watercolor,Expand,Wash coral,Open
25,Sampler Row,A counted cloth that never learned a picture. One row of X’s keeps arriving.,25.gif,Cross-stitch,Sew,Floss linen,Open
26,Lino Bite,A block of linoleum keeps one animal. The beak advances a cut at a time.,26.gif,Linocut,Hop,Crimson block,Open
27,Teletype,A roll of unused language. The cursor is the only reader.,27.gif,Teletype,Advance,Terminal green,Open
28,Kintsugi,A bowl that was already broken. The gold is the only part still deciding.,28.gif,Kintsugi,Gleam,Lacquer gold,Open
29,Waybill,A label for a package that never left. The scan line is the journey.,29.gif,Barcode,Scan,Manila carbon,Open
30,Instant Peel,A photograph that refuses a subject until the chemistry finishes. It never quite does.,30.gif,Instant film,Develop,Peel chemistry,Open
31,Ben-Day,Four cheap inks pretending to be a sky. The cyan plate keeps arriving late.,31.gif,Ben-Day,Pulse,Process CMYK,Open
32,Ikat Shift,A warp that was tied before it was dyed. The miss is the pattern.,32.gif,Ikat,Slip,Warp indigo,Open
33,Tape Window,A cassette that never plays a song. The reels keep the only motion.,33.gif,Cassette,Reel,Smoke brown,Open
34,Bitten Plate,Acid remembers every circle. The plate darkens where the bite holds.,34.gif,Etching,Bite,Verdigris copper,Open
35,Yield Field,A sign with no road. The warning is the whole landscape.,35.gif,Traffic enamel,Warn,Safety yellow,Open
36,Sand Ring,A mandala made to be swept. One ring turns before the broom arrives.,36.gif,Sand mandala,Turn,Temple dust,Open
37,Carbon Copy,A second sheet keeps a letter no one mailed. The words slip one row.,37.gif,Carbon paper,Slip,Violet tissue,Open
38,Barricade,A road closed to nothing. The stripes keep walking anyway.,38.gif,Barricade,Crawl,Safety orange,Open
39,Urushi,Many coats of night. A red thought shows only when the light is wrong.,39.gif,Urushi,Sheen,Lacquer night,Open
40,Radar Sweep,A scope that keeps a storm that is not there. The arm is the weather.,40.gif,Radar,Sweep,Scope green,Open
41,Pennant Line,Flags that name no ship. One pennant keeps changing its mind in the wind.,41.gif,Maritime flag,Snap,Signal cloth,Open
42,Microfiche,A library reduced to amber. One row of ghosts advances.,42.gif,Microfiche,Index,Amber negative,Open
43,Garter Knit,A scarf that is only rows. The needle is still working the last one.,43.gif,Knit,Cast,Wool rust,Open
44,Slate Dust,A blackboard with no lesson. The dust keeps a stroke that will not stay.,44.gif,Chalk,Dust,Slate white,Open
45,Encaustic,Wax poured over a thought. The thought keeps trying to surface.,45.gif,Encaustic,Well,Wax umber,Open
46,Cork Pins,A board that never held a note. The pins keep finding new holes.,46.gif,Cork,Hop,Tan pin,Open
47,Cell Pour,Acrylic that decided to become a map. The cells breathe without blending.,47.gif,Paint pour,Cell,Pour jewel,Open
48,Staff Walk,A measure with no key. The note keeps the appointment anyway.,48.gif,Notation,Walk,Score black,Open
49,Flemish Bond,A wall that is only the wall. One brick remembers weather.,49.gif,Brick,Weather,Clay mortar,Open
50,Thermograph,A temperature with no body. The hot spots keep changing their address.,50.gif,Thermograph,Migrate,Infrared,Open
51,Jolt Trace,A needle that writes the floor and will not lift.,51.gif,Seismograph ink,Tick,Graphite cream,Open
52,Wax Comb,A hive plan with no bees left to argue.,52.gif,Beeswax comb,Fill,Honey black,Open
53,Armor Scale,A soldier reduced to the idea of overlapping.,53.gif,Lamellar,Lift,Bronze dusk,Open
54,Oak Chevron,A hallway with nowhere to walk.,54.gif,Chevron parquet,March,Floor honey,Open
55,Clan Sett,A family reduced to crossings.,55.gif,Tartan sett,Lock,Wool night,Open
56,Kanoko,Dots that were once pinched cloth.,56.gif,Kanoko shibori,Bind,Indigo rice,Open
57,Lobby Chip,A floor pouring itself into a wall.,57.gif,Terrazzo chip,Settle,Lobby mint,Open
58,Tread Plate,A floor that warns the foot.,58.gif,Diamond plate,Grip,Shop aluminum,Open
59,Mail Field,A body of rings with no body inside.,59.gif,Chainmail,Rattle,Armory steel,Open
60,Wire Cell,Wires holding color the way a fence holds sheep.,60.gif,Cloisonné,Fill,Kiln jewel,Open
61,Slip Scratch,Through the pale into the dark.,61.gif,Sgraffito,Carve,Terracotta slip,Open
62,Celadon Run,The glaze decided to leave.,62.gif,Celadon drip,Run,Jade kiln,Open
63,Keybed,"A keyboard with no song, still a walk.",63.gif,Piano key,Travel,Ivory ebony,Open
64,Figure Eight,Two tones arguing until they draw a knot.,64.gif,Lissajous,Knot,Scope amber,Open
65,Star Zellige,A star that is only cuts.,65.gif,Zellige star,Lock,Fes enamel,Open
66,Running White,A repair that became a law.,66.gif,Sashiko,Run,Indigo white,Open
67,Blind Slat,A window that is only its refusal.,67.gif,Venetian blind,Tilt,Office cream,Open
68,Contour Ridge,Height without a hill.,68.gif,Topographic ink,Wind,Survey brown,Open
69,Whorl,An identity with no person.,69.gif,Fingerprint whorl,Turn,Ink pad,Open
70,Box Flute,A box that forgot its product.,70.gif,Corrugated flute,Flex,Carton kraft,Open
71,Boteh,A seed that learned to be a comma.,71.gif,Paisley boteh,Curl,Kashmir dye,Open
72,Loom Row,A belt with no waist.,72.gif,Bead loom,String,Trade bead,Open
73,Honeycomb Vault,A ceiling that climbs down.,73.gif,Muqarnas,Cascade,Vault gold,Open
74,Spray Star,A star that arrived as weather.,74.gif,Stencil spray,Mist,Shop star,Open
75,Gold Leaf,"A square of sun, thin as rumor.",75.gif,Gold leaf,Lay,Icon gold,Open
76,Deckle Edge,The edge that refuses a guillotine.,76.gif,Deckle,Tear,Rag cream,Open
77,Stone Score,A language of cuts along an edge.,77.gif,Ogham,Score,Standing stone,Open
78,Centerline,A landing that does not happen.,78.gif,Runway paint,Aim,Tarmac yellow,Open
79,Cane Web,A seat with no chair.,79.gif,Cane webbing,Seat,Chair cane,Open
80,Rocker Ground,"A plate made of night, then scraped.",80.gif,Mezzotint rocker,Tooth,Copper black,Open
81,Fault Line,The paper keeps a secret the bedrock already spent.,81.gif,Drum recorder,Slip,Ink bone,Open
82,Bolt Head,Hardware enlarged until it becomes a room.,82.gif,Hex bolt,Turn,Shop steel,Open
83,Roof Scale,Weather on a wall that never saw rain.,83.gif,Fish-scale shingle,Shed,Tar silver,Open
84,End Grain,The tree seen the hard way.,84.gif,End-grain block,Seat,Butcher warm,Open
85,Windowpane,A window that is only thread.,85.gif,Windowpane check,Frame,Suit grey,Open
86,Arashi Pole,Cloth pole-wrapped into weather.,86.gif,Arashi shibori,Twist,Storm indigo,Open
