tokenID,name,description,file_name,attributes[Pad],attributes[Glow],attributes[Pelt],attributes[Fit],attributes[Mug],attributes[Gear]
1,Hoodkin #1,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,1.gif,Ledger,Lime Halo,Silver,Forest Hoodie,Blink,Headphones
2,Hoodkin #2,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,2.gif,Blush,Sparkle,Rust,Blue Tee,Wink,Back Cap
3,Hoodkin #3,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,3.gif,Mist,Blush Bloom,Snow,Clay Cardigan,Heart,Bucket Hat
4,Hoodkin #4,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,4.gif,Mint,Gold Dust,Moss,Cream Polo,Spark,Coffee
5,Hoodkin #5,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,5.gif,Night Tape,Lime Halo,Ink,Ink Jacket,Smirk,Shades
6,Hoodkin #6,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,6.gif,Blotter,No glow,Honey,No fit,Sleepy,Beanie
7,Hoodkin #7,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,7.gif,Amber,Sparkle,Silver,Forest Hoodie,Wide,Phone
8,Hoodkin #8,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,8.gif,Slate,Gold Dust,Rust,Ink Jacket,Coin,None
9,Hoodkin #9,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,9.gif,Ledger,No glow,Moss,Blue Tee,Wink,Headphones
10,Hoodkin #10,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,10.gif,Blush,Blush Bloom,Ink,Clay Cardigan,Sleepy,Coffee
11,Hoodkin #11,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,11.gif,Mist,Lime Halo,Honey,Cream Polo,Smirk,Back Cap
12,Hoodkin #12,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,12.gif,Mint,Sparkle,Snow,Forest Hoodie,Spark,None
13,Hoodkin #13,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,13.gif,Night Tape,Gold Dust,Silver,No fit,Heart,Bucket Hat
14,Hoodkin #14,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,14.gif,Blotter,Lime Halo,Rust,Ink Jacket,Wide,Shades
15,Hoodkin #15,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,15.gif,Amber,No glow,Moss,Clay Cardigan,Blink,Beanie
16,Hoodkin #16,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,16.gif,Slate,Blush Bloom,Snow,Blue Tee,Coin,Phone
17,Hoodkin #17,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,17.gif,Mist,Lime Halo,Ink,Ink Jacket,Blink,Beanie
18,Hoodkin #18,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,18.gif,Blush,Lime Halo,Snow,Forest Hoodie,Wide,Bucket Hat
19,Hoodkin #19,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,19.gif,Mist,Lime Halo,Honey,No fit,Smirk,Back Cap
20,Hoodkin #20,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,20.gif,Blush,No glow,Rust,Ink Jacket,Coin,None
21,Hoodkin #21,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,21.gif,Amber,Gold Dust,Rust,Blue Tee,Wink,Beanie
22,Hoodkin #22,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,22.gif,Blush,Sparkle,Ink,Cream Polo,Heart,Phone
23,Hoodkin #23,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,23.gif,Mist,No glow,Silver,Cream Polo,Blink,Coffee
24,Hoodkin #24,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,24.gif,Mist,No glow,Rust,Cream Polo,Smirk,Bucket Hat
25,Hoodkin #25,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,25.gif,Slate,No glow,Rust,Ink Jacket,Blink,Shades
26,Hoodkin #26,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,26.gif,Blush,Sparkle,Silver,Forest Hoodie,Wink,Headphones
27,Hoodkin #27,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,27.gif,Amber,Gold Dust,Silver,Cream Polo,Wink,Shades
28,Hoodkin #28,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,28.gif,Night Tape,Sparkle,Silver,Cream Polo,Sleepy,Beanie
29,Hoodkin #29,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,29.gif,Slate,No glow,Honey,Ink Jacket,Blink,None
30,Hoodkin #30,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,30.gif,Mint,Gold Dust,Silver,No fit,Spark,Phone
31,Hoodkin #31,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,31.gif,Amber,Sparkle,Moss,Blue Tee,Heart,Coffee
32,Hoodkin #32,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,32.gif,Slate,Gold Dust,Ink,Clay Cardigan,Spark,Beanie
33,Hoodkin #33,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,33.gif,Amber,Lime Halo,Silver,Clay Cardigan,Spark,None
34,Hoodkin #34,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,34.gif,Night Tape,Lime Halo,Ink,Blue Tee,Smirk,Phone
35,Hoodkin #35,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,35.gif,Mint,Blush Bloom,Silver,No fit,Blink,Shades
36,Hoodkin #36,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,36.gif,Amber,Sparkle,Honey,Clay Cardigan,Smirk,Bucket Hat
37,Hoodkin #37,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,37.gif,Slate,Blush Bloom,Honey,Forest Hoodie,Sleepy,Shades
38,Hoodkin #38,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,38.gif,Amber,Blush Bloom,Moss,Cream Polo,Sleepy,Phone
39,Hoodkin #39,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,39.gif,Blush,No glow,Snow,No fit,Blink,Coffee
40,Hoodkin #40,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,40.gif,Slate,Gold Dust,Moss,Forest Hoodie,Spark,Beanie
41,Hoodkin #41,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,41.gif,Mint,Gold Dust,Silver,Cream Polo,Wide,Coffee
42,Hoodkin #42,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,42.gif,Mist,Blush Bloom,Rust,No fit,Wink,Back Cap
43,Hoodkin #43,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,43.gif,Night Tape,Gold Dust,Rust,Clay Cardigan,Blink,Coffee
44,Hoodkin #44,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,44.gif,Mist,Lime Halo,Ink,No fit,Spark,Coffee
45,Hoodkin #45,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,45.gif,Amber,Sparkle,Snow,No fit,Sleepy,Bucket Hat
46,Hoodkin #46,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,46.gif,Blotter,Sparkle,Snow,Ink Jacket,Heart,Coffee
47,Hoodkin #47,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,47.gif,Mist,Gold Dust,Snow,Forest Hoodie,Wide,Back Cap
48,Hoodkin #48,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,48.gif,Amber,Blush Bloom,Ink,Cream Polo,Smirk,Headphones
49,Hoodkin #49,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,49.gif,Slate,Sparkle,Rust,No fit,Wide,Bucket Hat
50,Hoodkin #50,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,50.gif,Blotter,Sparkle,Moss,Cream Polo,Wide,None
51,Hoodkin #51,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,51.gif,Mist,Gold Dust,Rust,Ink Jacket,Sleepy,Bucket Hat
52,Hoodkin #52,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,52.gif,Night Tape,Gold Dust,Moss,No fit,Wink,Coffee
53,Hoodkin #53,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,53.gif,Mint,Lime Halo,Snow,Cream Polo,Blink,Headphones
54,Hoodkin #54,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,54.gif,Blotter,Lime Halo,Ink,Ink Jacket,Blink,Bucket Hat
55,Hoodkin #55,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,55.gif,Slate,Gold Dust,Honey,Forest Hoodie,Spark,Shades
56,Hoodkin #56,A looping chibi-raccoon PFP. Bandit mask. Ears twitch. Eyes blink. Minted on Robinhood Chain.,56.gif,Amber,Sparkle,Ink,Clay Cardigan,Coin,Coffee
