tokenID,name,description,file_name,attributes[Gym],attributes[Suit],attributes[Nap],attributes[Mesh],attributes[Seam],attributes[Crest],attributes[Fuzz]
1,Suit #1,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,1.gif,Maple Court,Bear Suit,Down Nap,Round Mesh,White Seam,Star Crest,Loose Fuzz
2,Suit #2,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,2.gif,Night Court,Lion Suit,Cross Nap,Visor Mesh,Gold Seam,Badge Crest,Halo Fuzz
3,Suit #3,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,3.gif,Turf Court,Frog Suit,Tight Nap,Button Eyes,Black Seam,No Crest,Clean Air
4,Suit #4,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,4.gif,Vinyl Court,Bunny Suit,Swirl Nap,Round Mesh,Contrast Seam,Patch Crest,Drift Fuzz
5,Suit #5,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,5.gif,Wood Court,Dino Suit,Down Nap,Slit Mesh,White Seam,Letter Crest,Loose Fuzz
6,Suit #6,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,6.gif,Mat Court,Wolf Suit,Cross Nap,Visor Mesh,Black Seam,Star Crest,Clean Air
7,Suit #7,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,7.gif,Clay Court,Octopus Suit,Swirl Nap,Round Mesh,Gold Seam,Badge Crest,Halo Fuzz
8,Suit #8,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,8.gif,Linoleum Court,Shark Suit,Tight Nap,Button Eyes,Contrast Seam,Letter Crest,Drift Fuzz
9,Suit #9,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,9.gif,Night Court,Bear Suit,Cross Nap,Slit Mesh,Gold Seam,Patch Crest,Loose Fuzz
10,Suit #10,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,10.gif,Turf Court,Lion Suit,Down Nap,Round Mesh,White Seam,No Crest,Halo Fuzz
11,Suit #11,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,11.gif,Maple Court,Frog Suit,Swirl Nap,Visor Mesh,Black Seam,Star Crest,Drift Fuzz
12,Suit #12,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,12.gif,Vinyl Court,Dino Suit,Tight Nap,Round Mesh,Contrast Seam,Badge Crest,Loose Fuzz
13,Suit #13,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,13.gif,Wood Court,Bunny Suit,Down Nap,Button Eyes,White Seam,Patch Crest,Clean Air
14,Suit #14,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,14.gif,Mat Court,Shark Suit,Cross Nap,Slit Mesh,Gold Seam,Star Crest,Halo Fuzz
15,Suit #15,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,15.gif,Linoleum Court,Wolf Suit,Swirl Nap,Visor Mesh,Contrast Seam,No Crest,Drift Fuzz
16,Suit #16,A looping foam mascot from Feltro. Mesh eyes. A seam down the cylinder. Free mint on Robinhood Chain.,16.gif,Clay Court,Octopus Suit,Tight Nap,Button Eyes,White Seam,Letter Crest,Loose Fuzz
