tokenID,name,description,file_name,attributes[Paper],attributes[Bloom],attributes[Visage],attributes[Gaze],attributes[Mark],attributes[Adorn]
1,Inkling #1,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,1.gif,Indigo Night,Violet Haze,Fox,Bright,Clean face,Flow Hair
2,Inkling #2,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,2.gif,Peach Dusk,Gold Wash,Crane,Lidded,Red Seal,Silk Bun
3,Inkling #3,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,3.gif,Celadon Garden,Teal Mist,Koi,Dew,Ink Splash,Bare head
4,Inkling #4,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,4.gif,Charcoal Wash,No bloom,Cat,Wink,Slow Drip,Ink Ribbon
5,Inkling #5,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,5.gif,Rose Gold,Coral Glow,Moth,Ember,Clean face,Wash Hood
6,Inkling #6,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,6.gif,Storm Grey,Silver Veil,Moon,Sleepy,Brush Streak,Soft Crown
7,Inkling #7,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,7.gif,Wine Paper,Gold Wash,Otter,Bright,Red Seal,Flow Hair
8,Inkling #8,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,8.gif,Cream Rice,Violet Haze,Hare,Dew,Clean face,Silk Bun
9,Inkling #9,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,9.gif,Indigo Night,Silver Veil,Crane,Ember,Brush Streak,Wash Hood
10,Inkling #10,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,10.gif,Peach Dusk,Coral Glow,Fox,Wink,Ink Splash,Soft Crown
11,Inkling #11,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,11.gif,Celadon Garden,No bloom,Otter,Lidded,Clean face,Ink Ribbon
12,Inkling #12,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,12.gif,Charcoal Wash,Violet Haze,Moth,Bright,Slow Drip,Flow Hair
13,Inkling #13,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,13.gif,Rose Gold,Gold Wash,Moon,Dew,Red Seal,Bare head
14,Inkling #14,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,14.gif,Storm Grey,Teal Mist,Cat,Sleepy,Clean face,Silk Bun
15,Inkling #15,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,15.gif,Wine Paper,Coral Glow,Hare,Ember,Ink Splash,Wash Hood
16,Inkling #16,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,16.gif,Cream Rice,Gold Wash,Koi,Bright,Brush Streak,Soft Crown
