tokenID,name,description,file_name,attributes[Stage],attributes[Haze],attributes[Dough],attributes[Face],attributes[Topping],attributes[Steam]
1,Mochin #1,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,1.gif,Cream Cove,Warm Key,Snow,Blink,Leaf,Wisps
2,Mochin #2,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,2.gif,Blush Cove,Sakura Dust,Berry,Wink,Bow,Sparkle
3,Mochin #3,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,3.gif,Matcha Cove,Gold Motes,Matcha,Grin,Sesame Dust,Puff
4,Mochin #4,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,4.gif,Dusk Cove,Cool Rim,Taro,Heart,Berry,Wisps
5,Mochin #5,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,5.gif,Night Cove,Warm Key,Sesame,Pout,Drizzle,Still
6,Mochin #6,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,6.gif,Marble Cove,No haze,Yuzu,Sleepy,Kinako,Puff
7,Mochin #7,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,7.gif,Amber Cove,Gold Motes,Cocoa,Wide,Leaf,Sparkle
8,Mochin #8,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,8.gif,Fog Cove,Cool Rim,Snow,Spark,Plain,Wisps
9,Mochin #9,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,9.gif,Cream Cove,No haze,Matcha,Wink,Drizzle,Still
10,Mochin #10,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,10.gif,Blush Cove,Warm Key,Cocoa,Sleepy,Bow,Puff
11,Mochin #11,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,11.gif,Matcha Cove,Sakura Dust,Berry,Pout,Sesame Dust,Still
12,Mochin #12,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,12.gif,Dusk Cove,Gold Motes,Snow,Spark,Leaf,Sparkle
13,Mochin #13,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,13.gif,Night Cove,Cool Rim,Taro,Heart,Plain,Wisps
14,Mochin #14,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,14.gif,Marble Cove,Warm Key,Sesame,Wide,Berry,Still
15,Mochin #15,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,15.gif,Amber Cove,No haze,Yuzu,Blink,Kinako,Puff
16,Mochin #16,A looping soft-3D mochi PFP. Studio light. Volume. Specular. Minted on Shape.,16.gif,Fog Cove,Sakura Dust,Matcha,Grin,Bow,Sparkle
