tokenID,name,description,file_name,attributes[Safehouse],attributes[Alias],attributes[Getup],attributes[Disguise],attributes[Headpiece],attributes[Instrument],attributes[Chain Trail],attributes[Evidence Mark]
1,Robin Banx #1,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",1.png,Ledger Room,Rook,Pinstripe Rig,Bandit Cloth,Creased Fedora,Bolt Cutters,Base Blueprint,Case Open
2,Robin Banx #2,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",2.png,Night Vault,Vesper,Courier Coat,Mirror Specs,Watch Cap,Burner Phone,Ethereum Rubric,Seized
3,Robin Banx #3,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",3.png,Rail Archive,Cutlass,Night Vest,Ledger Blind,Night Beret,Cold Wallet,Bitcoin Ransom,Classified
4,Robin Banx #4,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",4.png,Concrete Cellar,Cipher,Heist Knit,Half Respirator,Radio Phones,Glass Key,Solana Transit,Redacted
5,Robin Banx #5,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",5.png,Redacted Office,Morrow,Archive Suit,Paper Visage,Courier Hood,Signal Jammer,Arbitrum Route,Base 8453
6,Robin Banx #6,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",6.png,Signal Attic,Switch,Armored Shirt,Cipher Goggles,Watch Cap,Bridge Case,Optimism Signal,Wanted
7,Robin Banx #7,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",7.png,Canal Depot,Locke,Signal Parka,Unmasked,Breach Helmet,Validator Drill,Polygon Grid,Chain of Custody
8,Robin Banx #8,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",8.png,Embassy Basement,Parallax,Embassy Tux,Full Respirator,Night Beret,Genesis Charge,Zora Negative,Inside Job
9,Robin Banx #9,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",9.png,Offshore Bunker,Zero Day,Hazmat Tailoring,Blank Plate,Validator Halo,Sequencer Override,Multichain Crossing,Case 000
10,Robin Banx #10,"Robin Banx is a 10,000-piece noir security dossier assembled on Base. Angular masked operators move through torn case files, halftone shadow, evidence ink, and multichain contraband. Every RBX is a deterministic eight-layer static collage. The mint is free; the file is never closed.",10.png,Black Site,Ghost Key,Carbon Mail,Holo Scrambler,Burner Aureole,Cold Wallet,Base Blueprint,Classified
