tokenID,name,description,file_name,attributes[Paper],attributes[Bloom],attributes[Visage],attributes[Gaze],attributes[Mark],attributes[Adorn]
1,Inkling #1,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,1.gif,Indigo Night,Violet Haze,Fox,Bright,Clean face,Flow Hair
2,Inkling #2,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,2.gif,Peach Dusk,Gold Wash,Crane,Lidded,Red Seal,Silk Bun
3,Inkling #3,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,3.gif,Celadon Garden,Teal Mist,Koi,Dew,Ink Splash,Bare head
4,Inkling #4,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,4.gif,Charcoal Wash,No bloom,Cat,Wink,Slow Drip,Ink Ribbon
5,Inkling #5,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,5.gif,Rose Gold,Coral Glow,Moth,Ember,Clean face,Wash Hood
6,Inkling #6,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,6.gif,Storm Grey,Silver Veil,Moon,Sleepy,Brush Streak,Soft Crown
7,Inkling #7,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,7.gif,Wine Paper,Gold Wash,Otter,Bright,Red Seal,Flow Hair
8,Inkling #8,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,8.gif,Cream Rice,Violet Haze,Hare,Dew,Clean face,Silk Bun
9,Inkling #9,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,9.gif,Indigo Night,Silver Veil,Crane,Ember,Brush Streak,Wash Hood
10,Inkling #10,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,10.gif,Peach Dusk,Coral Glow,Fox,Wink,Ink Splash,Soft Crown
11,Inkling #11,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,11.gif,Celadon Garden,No bloom,Otter,Lidded,Clean face,Ink Ribbon
12,Inkling #12,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,12.gif,Charcoal Wash,Violet Haze,Moth,Bright,Slow Drip,Flow Hair
13,Inkling #13,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,13.gif,Rose Gold,Gold Wash,Moon,Dew,Red Seal,Bare head
14,Inkling #14,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,14.gif,Storm Grey,Teal Mist,Cat,Sleepy,Clean face,Silk Bun
15,Inkling #15,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,15.gif,Wine Paper,Coral Glow,Hare,Ember,Ink Splash,Wash Hood
16,Inkling #16,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,16.gif,Cream Rice,Gold Wash,Koi,Bright,Brush Streak,Soft Crown
17,Inkling #17,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,17.gif,Celadon Garden,No bloom,Crane,Ember,Red Seal,Ink Ribbon
18,Inkling #18,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,18.gif,Rose Gold,No bloom,Fox,Dew,Clean face,Ink Ribbon
19,Inkling #19,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,19.gif,Rose Gold,Teal Mist,Otter,Wink,Slow Drip,Flow Hair
20,Inkling #20,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,20.gif,Storm Grey,Gold Wash,Koi,Wink,Red Seal,Flow Hair
21,Inkling #21,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,21.gif,Indigo Night,Silver Veil,Otter,Ember,Ink Splash,Silk Bun
22,Inkling #22,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,22.gif,Cream Rice,Violet Haze,Fox,Wink,Clean face,Flow Hair
23,Inkling #23,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,23.gif,Peach Dusk,Teal Mist,Hare,Bright,Red Seal,Silk Bun
24,Inkling #24,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,24.gif,Cream Rice,Coral Glow,Fox,Wink,Clean face,Ink Ribbon
25,Inkling #25,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,25.gif,Storm Grey,Teal Mist,Fox,Sleepy,Red Seal,Soft Crown
26,Inkling #26,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,26.gif,Wine Paper,No bloom,Fox,Dew,Slow Drip,Soft Crown
27,Inkling #27,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,27.gif,Indigo Night,Coral Glow,Fox,Lidded,Slow Drip,Ink Ribbon
28,Inkling #28,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,28.gif,Indigo Night,No bloom,Moon,Lidded,Brush Streak,Silk Bun
29,Inkling #29,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,29.gif,Rose Gold,Violet Haze,Cat,Dew,Red Seal,Bare head
30,Inkling #30,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,30.gif,Wine Paper,Violet Haze,Crane,Wink,Ink Splash,Silk Bun
31,Inkling #31,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,31.gif,Indigo Night,Gold Wash,Moon,Wink,Clean face,Silk Bun
32,Inkling #32,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,32.gif,Charcoal Wash,Violet Haze,Cat,Dew,Clean face,Bare head
33,Inkling #33,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,33.gif,Indigo Night,Coral Glow,Otter,Wink,Ink Splash,Flow Hair
34,Inkling #34,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,34.gif,Wine Paper,Silver Veil,Fox,Bright,Clean face,Flow Hair
35,Inkling #35,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,35.gif,Peach Dusk,No bloom,Otter,Ember,Slow Drip,Ink Ribbon
36,Inkling #36,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,36.gif,Celadon Garden,Silver Veil,Crane,Ember,Brush Streak,Silk Bun
37,Inkling #37,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,37.gif,Peach Dusk,Coral Glow,Otter,Bright,Clean face,Wash Hood
38,Inkling #38,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,38.gif,Storm Grey,Violet Haze,Moon,Dew,Ink Splash,Soft Crown
39,Inkling #39,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,39.gif,Peach Dusk,Coral Glow,Cat,Bright,Red Seal,Bare head
40,Inkling #40,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,40.gif,Cream Rice,Teal Mist,Cat,Bright,Slow Drip,Silk Bun
41,Inkling #41,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,41.gif,Peach Dusk,No bloom,Fox,Bright,Clean face,Bare head
42,Inkling #42,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,42.gif,Indigo Night,Teal Mist,Hare,Sleepy,Slow Drip,Wash Hood
43,Inkling #43,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,43.gif,Indigo Night,Gold Wash,Cat,Sleepy,Ink Splash,Ink Ribbon
44,Inkling #44,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,44.gif,Celadon Garden,Violet Haze,Crane,Dew,Brush Streak,Wash Hood
45,Inkling #45,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,45.gif,Indigo Night,No bloom,Fox,Lidded,Clean face,Bare head
46,Inkling #46,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,46.gif,Rose Gold,Violet Haze,Crane,Wink,Red Seal,Flow Hair
47,Inkling #47,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,47.gif,Peach Dusk,Teal Mist,Cat,Sleepy,Slow Drip,Bare head
48,Inkling #48,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,48.gif,Cream Rice,Coral Glow,Otter,Wink,Ink Splash,Silk Bun
49,Inkling #49,A looping ink-wash PFP stacked from painterly trait layers. Minted on Ink.,49.gif,Charcoal Wash,Teal Mist,Cat,Wink,Ink Splash,Silk Bun
