tokenID,name,description,file_name,attributes[Night],attributes[Sheet],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
1,Shook'um #1,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,1.gif,Parchment,Classic,Normal,None,None,None
2,Shook'um #2,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,2.gif,Pumpkin,Blush,Heart,Bow,Chain,None
3,Shook'um #3,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,3.gif,Midnight,Classic,Spooked,Witch,None,Pumpkin
4,Shook'um #4,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,4.gif,Candy,Blush,Sparkly,Flower,Scarf,Candy
5,Shook'um #5,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,5.gif,Dusk,Void,Starry,Halo,None,Bat
6,Shook'um #6,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,6.gif,Fog,Classic,Sleepy,None,Pearls,None
7,Shook'um #7,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,7.gif,Blood Moon,Void,Wink,Pumpkin,Chain,Broom
8,Shook'um #8,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,8.gif,Graveyard,Classic,Blep,Cat Ears,Bowtie,Candy Corn
9,Shook'um #9,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,9.gif,Void,Void,Angry,Wizard,Cape,Moon
10,Shook'um #10,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,10.gif,Blush,Blush,Normal,Party,None,Potion
11,Shook'um #11,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,11.gif,Parchment,Classic,Sad,Crown,Collar,None
12,Shook'um #12,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,12.gif,Pumpkin,Classic,Sparkly,Witch,Scarf,Bat
13,Shook'um #13,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,13.gif,Candy,Blush,Wink,Bow,Pearls,Candy
14,Shook'um #14,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,14.gif,Midnight,Void,Spooked,Cat Ears,Chain,Pumpkin
15,Shook'um #15,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,15.gif,Dusk,Classic,Heart,Flower,None,Moon
16,Shook'um #16,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,16.gif,Blood Moon,Blush,Blep,Pumpkin,Cape,Broom
17,Shook'um #17,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,17.gif,Parchment,Classic,Blep,Party,Cape,Broom
18,Shook'um #18,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,18.gif,Candy,Blush,Spooked,Party,Collar,Pumpkin
19,Shook'um #19,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,19.gif,Midnight,Classic,Normal,Pumpkin,None,Candy
20,Shook'um #20,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,20.gif,Fog,Classic,Starry,Halo,Collar,Candy
21,Shook'um #21,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,21.gif,Void,Classic,Blep,Flower,Chain,Potion
22,Shook'um #22,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,22.gif,Blood Moon,Classic,Spooked,Cat Ears,Collar,Candy
23,Shook'um #23,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,23.gif,Pumpkin,Void,Spooked,None,Cape,None
24,Shook'um #24,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,24.gif,Pumpkin,Blush,Starry,Party,Scarf,Broom
25,Shook'um #25,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,25.gif,Blush,Classic,Starry,Crown,None,Candy Corn
26,Shook'um #26,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,26.gif,Dusk,Classic,Blep,Flower,None,None
27,Shook'um #27,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,27.gif,Pumpkin,Classic,Sleepy,Cat Ears,Chain,Potion
28,Shook'um #28,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,28.gif,Candy,Classic,Wink,Halo,Chain,None
29,Shook'um #29,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,29.gif,Dusk,Classic,Wink,None,None,Potion
30,Shook'um #30,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,30.gif,Pumpkin,Blush,Normal,None,Chain,Pumpkin
31,Shook'um #31,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,31.gif,Pumpkin,Void,Sad,None,Scarf,Moon
32,Shook'um #32,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,32.gif,Blush,Blush,Spooked,Pumpkin,Bowtie,None
33,Shook'um #33,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,33.gif,Blush,Blush,Spooked,Flower,Chain,Candy
34,Shook'um #34,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,34.gif,Dusk,Blush,Angry,None,None,None
35,Shook'um #35,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,35.gif,Candy,Classic,Wink,Cat Ears,None,Potion
36,Shook'um #36,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,36.gif,Midnight,Void,Sleepy,Party,Bowtie,None
37,Shook'um #37,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,37.gif,Graveyard,Classic,Normal,None,None,Pumpkin
38,Shook'um #38,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,38.gif,Void,Void,Sad,Cat Ears,None,Moon
39,Shook'um #39,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,39.gif,Fog,Classic,Spooked,Bow,Bowtie,Pumpkin
40,Shook'um #40,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,40.gif,Blush,Void,Normal,Flower,Chain,None
41,Shook'um #41,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,41.gif,Candy,Classic,Sleepy,Flower,Pearls,None
42,Shook'um #42,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,42.gif,Dusk,Void,Wink,Halo,None,Pumpkin
43,Shook'um #43,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,43.gif,Candy,Classic,Spooked,Flower,None,Potion
44,Shook'um #44,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,44.gif,Candy,Blush,Sleepy,None,Collar,Potion
45,Shook'um #45,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,45.gif,Blush,Void,Angry,None,Bowtie,Pumpkin
46,Shook'um #46,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,46.gif,Void,Classic,Blep,Bow,None,Candy Corn
47,Shook'um #47,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,47.gif,Blood Moon,Void,Blep,Cat Ears,Cape,Potion
48,Shook'um #48,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,48.gif,Graveyard,Blush,Sad,None,Bowtie,Pumpkin
49,Shook'um #49,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,49.gif,Midnight,Void,Sleepy,Pumpkin,Chain,Candy Corn
50,Shook'um #50,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,50.gif,Blush,Classic,Blep,Party,Cape,Bat
51,Shook'um #51,A looping sheet ghost from Halloween Shook'ums. Three bodies. One skeleton. One clock. Minted on Abstract.,51.gif,Midnight,Void,Blep,None,Chain,None
