tokenID,name,description,file_name,attributes[Yard],attributes[Glow],attributes[Pelt],attributes[Mug],attributes[Hat],attributes[Gear]
1,Santa Paw #1,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",1.gif,Snowy Night,Soft Halo,White Fluff,Cheerful,Santa Hat,Scarf
2,Santa Paw #2,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",2.gif,Cozy Hearth,Ember,Ginger,Wink,Pom Beanie,Cocoa
3,Santa Paw #3,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",3.gif,Candy Cane,Sparkle,Calico,Heart Eyes,Elf Cap,Present
4,Santa Paw #4,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",4.gif,Gift Wrap,Snow Glitter,Tuxedo,Sleepy,Holly Crown,None
5,Santa Paw #5,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",5.gif,Aurora,Soft Halo,Charcoal,Surprised,Antlers,Bells
6,Santa Paw #6,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",6.gif,Cookie Kitchen,No glow,Cocoa,Tongue Out,None,Stocking
7,Santa Paw #7,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",7.gif,Snowy Night,Snow Glitter,Gray Tabby,Blush,Santa Hat,Sweater
8,Santa Paw #8,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",8.gif,Cozy Hearth,Sparkle,White Fluff,Cheerful,Elf Cap,Mistletoe
9,Santa Paw #9,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",9.gif,Candy Cane,No glow,Ginger,Wink,None,Scarf
10,Santa Paw #10,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",10.gif,Gift Wrap,Ember,Calico,Sleepy,Pom Beanie,Cocoa
11,Santa Paw #11,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",11.gif,Aurora,Sparkle,Tuxedo,Heart Eyes,Holly Crown,Present
12,Santa Paw #12,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",12.gif,Cookie Kitchen,Soft Halo,Gray Tabby,Cheerful,Antlers,Bells
13,Santa Paw #13,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",13.gif,Snowy Night,Ember,Cocoa,Blush,Santa Hat,None
14,Santa Paw #14,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",14.gif,Cozy Hearth,Snow Glitter,Charcoal,Tongue Out,None,Sweater
15,Santa Paw #15,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",15.gif,Candy Cane,Soft Halo,White Fluff,Surprised,Elf Cap,Stocking
16,Santa Paw #16,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",16.gif,Aurora,No glow,Ginger,Wink,Holly Crown,Mistletoe
17,Santa Paw #17,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",17.gif,Gift Wrap,Sparkle,Charcoal,Cheerful,None,Bells
18,Santa Paw #18,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",18.gif,Cookie Kitchen,No glow,Ginger,Cheerful,Holly Crown,Scarf
19,Santa Paw #19,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",19.gif,Cookie Kitchen,Sparkle,Ginger,Blush,Elf Cap,Sweater
20,Santa Paw #20,"A looping chibi-cat PFP, always in the mood of giving. Minted on Base.",20.gif,Aurora,No glow,White Fluff,Cheerful,None,Sweater
