tokenID,name,description,file_name,attributes[Field],attributes[Pelt],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
1,Foxin #1,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,1.gif,Peach,Maple,Normal,None,None,None
2,Foxin #2,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,2.gif,Peach,Maple,Grin,Leaf,Scarf,Acorn
3,Foxin #3,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,3.gif,Dusk,Dusk,Sparkly,Beret,Bandana,Lantern
4,Foxin #4,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,4.gif,Snow,Snow,Sleepy,Beanie,None,None
5,Foxin #5,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,5.gif,Hearth,Maple,Wink,Cap,Bell,Leaf
6,Foxin #6,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,6.gif,Peach,Snow,Blep,Flower,Scarf,Acorn
7,Foxin #7,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,7.gif,Dusk,Maple,Pout,None,Bandana,Lantern
8,Foxin #8,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,8.gif,Snow,Dusk,Grin,Leaf,None,Leaf
9,Foxin #9,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,9.gif,Hearth,Snow,Sparkly,Beret,Scarf,None
10,Foxin #10,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,10.gif,Peach,Dusk,Sleepy,Cap,Bell,Acorn
11,Foxin #11,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,11.gif,Dusk,Snow,Wink,Flower,None,Lantern
12,Foxin #12,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,12.gif,Hearth,Dusk,Heart,Beanie,Bandana,Leaf
13,Foxin #13,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,13.gif,Snow,Maple,Grin,Bow,Bell,Acorn
14,Foxin #14,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,14.gif,Peach,Maple,Sparkly,Beret,None,None
15,Foxin #15,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,15.gif,Dusk,Snow,Sleepy,Leaf,Scarf,Lantern
16,Foxin #16,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,16.gif,Hearth,Maple,Blep,Flower,None,Leaf
17,Foxin #17,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,17.gif,Hearth,Maple,Pout,Leaf,None,None
18,Foxin #18,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,18.gif,Dusk,Maple,Grin,Cap,Bandana,None
19,Foxin #19,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,19.gif,Peach,Maple,Pout,Beanie,Bandana,Acorn
20,Foxin #20,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,20.gif,Snow,Maple,Sparkly,Beanie,Bandana,None
21,Foxin #21,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,21.gif,Peach,Dusk,Wink,None,Scarf,Leaf
22,Foxin #22,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,22.gif,Peach,Maple,Pout,Beanie,Scarf,None
23,Foxin #23,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,23.gif,Peach,Maple,Wink,None,Bandana,Acorn
24,Foxin #24,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,24.gif,Snow,Snow,Blep,Leaf,Bandana,Leaf
25,Foxin #25,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,25.gif,Hearth,Dusk,Wink,Leaf,None,Acorn
26,Foxin #26,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,26.gif,Dusk,Maple,Wink,None,Bandana,Lantern
27,Foxin #27,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,27.gif,Peach,Dusk,Sparkly,None,None,Acorn
28,Foxin #28,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,28.gif,Snow,Maple,Blep,None,None,Acorn
29,Foxin #29,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,29.gif,Dusk,Maple,Grin,Beret,None,None
30,Foxin #30,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,30.gif,Hearth,Maple,Sleepy,None,Bell,None
31,Foxin #31,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,31.gif,Peach,Maple,Grin,Flower,None,Acorn
32,Foxin #32,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,32.gif,Snow,Maple,Grin,None,None,None
33,Foxin #33,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,33.gif,Hearth,Maple,Grin,Leaf,Bandana,None
34,Foxin #34,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,34.gif,Hearth,Maple,Grin,None,Bell,Leaf
35,Foxin #35,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,35.gif,Peach,Maple,Sleepy,None,Scarf,None
36,Foxin #36,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,36.gif,Snow,Dusk,Normal,Flower,Scarf,Acorn
37,Foxin #37,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,37.gif,Hearth,Dusk,Sparkly,Leaf,Scarf,None
38,Foxin #38,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,38.gif,Peach,Maple,Wink,Leaf,None,None
39,Foxin #39,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,39.gif,Snow,Maple,Blep,Leaf,None,Leaf
40,Foxin #40,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,40.gif,Dusk,Maple,Heart,Beanie,Bell,Lantern
41,Foxin #41,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,41.gif,Dusk,Maple,Sleepy,None,Bandana,None
42,Foxin #42,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,42.gif,Dusk,Maple,Pout,Cap,None,Acorn
43,Foxin #43,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,43.gif,Snow,Snow,Normal,None,Bell,Lantern
44,Foxin #44,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,44.gif,Snow,Dusk,Normal,Bow,None,None
45,Foxin #45,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,45.gif,Peach,Maple,Pout,Flower,Bell,None
46,Foxin #46,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,46.gif,Peach,Snow,Sparkly,None,Bandana,Leaf
47,Foxin #47,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,47.gif,Peach,Snow,Wink,None,Bandana,Lantern
48,Foxin #48,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,48.gif,Peach,Maple,Sleepy,Beanie,Scarf,Leaf
49,Foxin #49,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,49.gif,Peach,Maple,Normal,Beret,None,Acorn
50,Foxin #50,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,50.gif,Dusk,Snow,Heart,Bow,None,Acorn
51,Foxin #51,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,51.gif,Dusk,Maple,Sleepy,None,None,Lantern
52,Foxin #52,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,52.gif,Hearth,Maple,Wink,Beret,Bandana,Lantern
53,Foxin #53,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,53.gif,Peach,Maple,Heart,Flower,None,Acorn
54,Foxin #54,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,54.gif,Peach,Snow,Heart,Bow,Scarf,Leaf
55,Foxin #55,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,55.gif,Snow,Snow,Grin,Leaf,Scarf,Acorn
56,Foxin #56,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,56.gif,Dusk,Maple,Pout,Bow,Scarf,None
57,Foxin #57,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,57.gif,Dusk,Snow,Pout,Beanie,Bandana,Lantern
58,Foxin #58,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,58.gif,Snow,Dusk,Wink,Beanie,None,Acorn
59,Foxin #59,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,59.gif,Peach,Snow,Sparkly,None,Bell,Acorn
60,Foxin #60,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,60.gif,Hearth,Snow,Grin,Cap,Bell,Leaf
61,Foxin #61,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,61.gif,Dusk,Dusk,Sparkly,Beret,None,None
62,Foxin #62,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,62.gif,Hearth,Dusk,Normal,Leaf,None,Lantern
63,Foxin #63,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,63.gif,Dusk,Maple,Grin,None,None,Leaf
64,Foxin #64,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,64.gif,Dusk,Snow,Sparkly,Flower,Scarf,None
65,Foxin #65,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,65.gif,Snow,Maple,Sleepy,Beanie,Bell,Acorn
66,Foxin #66,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,66.gif,Snow,Snow,Wink,Leaf,None,None
67,Foxin #67,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,67.gif,Peach,Snow,Sleepy,Beret,None,Leaf
68,Foxin #68,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,68.gif,Dusk,Maple,Normal,Leaf,Bandana,None
69,Foxin #69,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,69.gif,Dusk,Snow,Wink,Beanie,Bell,Acorn
70,Foxin #70,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,70.gif,Peach,Dusk,Grin,Cap,Scarf,None
71,Foxin #71,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,71.gif,Dusk,Maple,Sparkly,Flower,Bandana,Lantern
72,Foxin #72,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,72.gif,Dusk,Maple,Grin,Flower,Scarf,None
73,Foxin #73,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,73.gif,Peach,Maple,Sleepy,None,None,None
74,Foxin #74,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,74.gif,Snow,Maple,Grin,Leaf,None,Acorn
75,Foxin #75,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,75.gif,Dusk,Maple,Grin,Cap,None,Acorn
76,Foxin #76,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,76.gif,Dusk,Maple,Wink,Flower,None,Acorn
77,Foxin #77,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,77.gif,Snow,Snow,Sparkly,Beanie,None,Acorn
78,Foxin #78,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,78.gif,Hearth,Maple,Normal,None,None,Leaf
79,Foxin #79,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,79.gif,Dusk,Maple,Wink,Flower,Bell,Leaf
80,Foxin #80,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,80.gif,Peach,Maple,Grin,None,Bell,None
81,Foxin #81,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,81.gif,Peach,Maple,Blep,Leaf,None,Acorn
82,Foxin #82,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,82.gif,Snow,Snow,Grin,Beret,None,Leaf
83,Foxin #83,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,83.gif,Snow,Maple,Normal,None,Bandana,Acorn
84,Foxin #84,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,84.gif,Snow,Snow,Heart,Cap,Bell,Leaf
85,Foxin #85,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,85.gif,Hearth,Maple,Blep,None,Bandana,Acorn
86,Foxin #86,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,86.gif,Snow,Maple,Pout,Leaf,Bandana,Acorn
87,Foxin #87,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,87.gif,Snow,Maple,Normal,Cap,None,None
88,Foxin #88,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,88.gif,Dusk,Dusk,Sleepy,None,None,None
89,Foxin #89,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,89.gif,Snow,Maple,Wink,Leaf,Bell,None
90,Foxin #90,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,90.gif,Snow,Maple,Sparkly,Cap,Bell,None
91,Foxin #91,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,91.gif,Peach,Maple,Heart,None,Bandana,Leaf
92,Foxin #92,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,92.gif,Dusk,Snow,Blep,Beret,Scarf,Acorn
93,Foxin #93,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,93.gif,Dusk,Maple,Wink,Leaf,Bell,None
94,Foxin #94,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,94.gif,Snow,Snow,Normal,Flower,Bell,None
95,Foxin #95,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,95.gif,Snow,Maple,Sparkly,Beret,Bell,Lantern
96,Foxin #96,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,96.gif,Hearth,Maple,Sleepy,Beanie,None,None
97,Foxin #97,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,97.gif,Hearth,Dusk,Normal,Beanie,None,None
98,Foxin #98,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,98.gif,Snow,Snow,Blep,None,Scarf,Lantern
99,Foxin #99,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,99.gif,Dusk,Snow,Normal,None,Bell,Leaf
100,Foxin #100,A looping bold-graphic fox from Foxins. Three pelts. One sticker. One clock. Minted on Base.,100.gif,Peach,Maple,Sleepy,Bow,None,Lantern
