tokenID,name,description,file_name,attributes[Pulp],attributes[Fleck],attributes[Fold],attributes[Score],attributes[Facet],attributes[Seal],attributes[Draft]
1,Fold #1,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,1.gif,Cream Washi,Kozo Fiber,Crane,Mountain Fold,Bare Facet,Hanko,Corner Lift
2,Fold #2,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,2.gif,Indigo Washi,Gold Dust,Frog,Valley Fold,Body Wash,Twin Cord,Flutter
3,Fold #3,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,3.gif,Moss Washi,Plain Sheet,Beetle,Crease Diagram,Band Wash,Mizuhiki Loop,Still Air
4,Fold #4,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,4.gif,Peach Washi,Speckle,Hare,No Score,Tip Wash,No Seal,Loose Scrap
5,Fold #5,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,5.gif,Gold Washi,Laid Stripe,Boat,Valley Fold,Wing Wash,Tassel,Gust
6,Fold #6,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,6.gif,Vermilion Washi,Cloud Wash,Fan,Radial Score,Gore Wash,Hanko,Corner Lift
7,Fold #7,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,7.gif,Frost Washi,Kozo Fiber,Kite,Grid Score,Bare Facet,Twin Cord,Flutter
8,Fold #8,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,8.gif,Ink Washi,Gold Dust,Lotus,Mountain Fold,Body Wash,Mizuhiki Loop,Still Air
9,Fold #9,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,9.gif,Cream Washi,Plain Sheet,Boat,Crease Diagram,Band Wash,No Seal,Loose Scrap
10,Fold #10,A looping origami sheet from Kamiori. Polygonal facets. A corner that lifts. One clock. Free mint on Robinhood Chain.,10.gif,Indigo Washi,Speckle,Crane,No Score,Wing Wash,Tassel,Gust
