tokenID,name,description,file_name,attributes[Cloth],attributes[Sleeve],attributes[Inn],attributes[Comb],attributes[Strike],attributes[Flame],attributes[Mark]
1,Match #1,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,1.gif,Check Cloth,Kraft Sleeve,Cactus Inn,White Comb,Grit Strike,Gold Flame,Room Mark
2,Match #2,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,2.gif,Linen Cloth,Ivory Sleeve,Lodge Inn,Kraft Comb,Red Phosphor,Ember Flame,No Mark
3,Match #3,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,3.gif,Vinyl Cloth,Crimson Sleeve,Diner Inn,Candy Comb,Black Strike,Tall Flame,Foil Mark
4,Match #4,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,4.gif,Bar Cloth,Navy Sleeve,Buoy Inn,Ebony Comb,Grit Strike,Blue Flame,Crest Mark
5,Match #5,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,5.gif,Stone Cloth,Mint Sleeve,Crown Inn,White Comb,Red Phosphor,Gold Flame,No Mark
6,Match #6,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,6.gif,Check Cloth,Black Sleeve,Shield Inn,Kraft Comb,Black Strike,Tall Flame,Room Mark
7,Match #7,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,7.gif,Linen Cloth,Kraft Sleeve,Palm Inn,Candy Comb,Grit Strike,Ember Flame,Foil Mark
8,Match #8,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,8.gif,Vinyl Cloth,Ivory Sleeve,Ticket Inn,White Comb,Red Phosphor,Blue Flame,No Mark
9,Match #9,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,9.gif,Bar Cloth,Crimson Sleeve,Cactus Inn,Ebony Comb,Grit Strike,Gold Flame,Crest Mark
10,Match #10,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,10.gif,Stone Cloth,Navy Sleeve,Diner Inn,Kraft Comb,Black Strike,Tall Flame,Room Mark
11,Match #11,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,11.gif,Check Cloth,Mint Sleeve,Lodge Inn,White Comb,Red Phosphor,Ember Flame,Foil Mark
12,Match #12,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,12.gif,Linen Cloth,Black Sleeve,Buoy Inn,Candy Comb,Grit Strike,Blue Flame,No Mark
13,Match #13,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,13.gif,Vinyl Cloth,Kraft Sleeve,Crown Inn,Ebony Comb,Black Strike,Gold Flame,Room Mark
14,Match #14,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,14.gif,Bar Cloth,Ivory Sleeve,Shield Inn,White Comb,Red Phosphor,Tall Flame,Crest Mark
15,Match #15,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,15.gif,Stone Cloth,Crimson Sleeve,Palm Inn,Kraft Comb,Grit Strike,Ember Flame,No Mark
16,Match #16,A looping hotel matchbook from Caldera. Offset-printed cardboard on a cafe table. The flame is the loop. Minted for $0.25 on Robinhood Chain.,16.gif,Check Cloth,Navy Sleeve,Ticket Inn,Candy Comb,Black Strike,Blue Flame,Foil Mark
