tokenID,name,description,file_name,attributes[Field],attributes[Body],attributes[Mug],attributes[Hat],attributes[Wrap],attributes[Charm]
1,Scribblin #1,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,1.gif,Cream,Bunny,Grin,Headphones,None,Star
2,Scribblin #2,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,2.gif,Sky,Bear,Sleepy,Beanie,Scarf,None
3,Scribblin #3,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,3.gif,Clay,Pup,Wink,Cap,Bandana,Pencil
4,Scribblin #4,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,4.gif,Butter,Frog,Blep,Leaf,None,Balloon
5,Scribblin #5,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,5.gif,Cream,Bear,Sparkly,Bow,Bowtie,Heart
6,Scribblin #6,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,6.gif,Sky,Bunny,Pout,Flower,Scarf,None
7,Scribblin #7,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,7.gif,Clay,Frog,Grin,Headphones,None,Star
8,Scribblin #8,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,8.gif,Butter,Pup,Heart,Beanie,Bowtie,Pencil
9,Scribblin #9,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,9.gif,Cream,Frog,Sleepy,None,Bandana,Balloon
10,Scribblin #10,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,10.gif,Sky,Pup,Normal,Flower,None,Heart
11,Scribblin #11,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,11.gif,Clay,Bunny,Sparkly,Cap,Scarf,Star
12,Scribblin #12,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,12.gif,Butter,Bear,Wink,Headphones,None,None
13,Scribblin #13,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,13.gif,Cream,Pup,Grin,Bow,Bandana,Balloon
14,Scribblin #14,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,14.gif,Sky,Frog,Pout,Beanie,Bowtie,Pencil
15,Scribblin #15,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,15.gif,Clay,Bear,Blep,Leaf,Scarf,Heart
16,Scribblin #16,A looping doodle critter from Scribblins. Four bodies. One friendly cartoon. One clock. Minted on Base.,16.gif,Butter,Bunny,Sleepy,None,None,Star
