tokenID,name,description,file_name,attributes[Plinth],attributes[Bath],attributes[Vista],attributes[Flurry],attributes[Lens],attributes[Collar],attributes[Plaque]
1,Globe #1,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,1.gif,Walnut Plinth,Gin Bath,Cabin Vista,Snow Flurry,Clear Lens,Brass Collar,Year Plaque
2,Globe #2,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,2.gif,Bakelite Plinth,Pine Bath,Pine Vista,Gold Leaf,Smoked Lens,Pewter Collar,No Plaque
3,Globe #3,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,3.gif,Brass Plinth,Ink Bath,Lighthouse Vista,Ash Flurry,Bubble Lens,Copper Collar,Crest Plaque
4,Globe #4,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,4.gif,Ceramic Plinth,Rose Bath,Deer Vista,Confetti Flurry,Hairline Crack,Bare Neck,Ribbon Plaque
5,Globe #5,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,5.gif,Ice Plastic,Amber Bath,Chapel Vista,Mica Flurry,Frost Lens,Brass Collar,Stamp Plaque
6,Globe #6,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,6.gif,Ebon Plinth,Cobalt Bath,Tram Vista,Grit Flurry,Tinted Lens,Black Collar,Year Plaque
7,Globe #7,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,7.gif,Cherry Plinth,Gin Bath,Bridge Vista,Snow Flurry,Clear Lens,Pewter Collar,No Plaque
8,Globe #8,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,8.gif,Marble Plinth,Pine Bath,Moon Vista,Gold Leaf,Smoked Lens,Copper Collar,Crest Plaque
9,Globe #9,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,9.gif,Walnut Plinth,Rose Bath,Pine Vista,Mica Flurry,Bubble Lens,Bare Neck,Stamp Plaque
10,Globe #10,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,10.gif,Bakelite Plinth,Amber Bath,Cabin Vista,Snow Flurry,Frost Lens,Brass Collar,Ribbon Plaque
11,Globe #11,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,11.gif,Brass Plinth,Clear Bath,Deer Vista,Gold Leaf,Clear Lens,Black Collar,No Plaque
12,Globe #12,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,12.gif,Ceramic Plinth,Cobalt Bath,Lighthouse Vista,Snow Flurry,Tinted Lens,Pewter Collar,Year Plaque
13,Globe #13,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,13.gif,Ice Plastic,Ink Bath,Chapel Vista,Ash Flurry,Hairline Crack,Copper Collar,Crest Plaque
14,Globe #14,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,14.gif,Ebon Plinth,Gin Bath,Moon Vista,Confetti Flurry,Bubble Lens,Bare Neck,Year Plaque
15,Globe #15,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,15.gif,Cherry Plinth,Pine Bath,Tram Vista,Grit Flurry,Frost Lens,Brass Collar,Stamp Plaque
16,Globe #16,A looping snow-globe souvenir from Nivora. A dome of liquor on a turned plinth. Glitter is the loop. Minted for $0.25 on Robinhood Chain.,16.gif,Marble Plinth,Clear Bath,Bridge Vista,Mica Flurry,Clear Lens,Black Collar,Ribbon Plaque
