tokenID,name,description,file_name,attributes[Venue],attributes[Note],attributes[Expression],attributes[Topper],attributes[Cable],attributes[Riff]
1,Groovy #1,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,1.gif,Sunset Strip,Eighth,Cool,Shades,Gold Chain,Vinyl
2,Groovy #2,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,2.gif,Lava Lamp,Quarter,Shout,Afro,Cans,Treble
3,Groovy #3,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,3.gif,Disco Floor,Beamed,Wink,Beanie,Mic,Stars
4,Groovy #4,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,4.gif,Velvet Night,Whole,Groove,Halo,None,Bolt
5,Groovy #5,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,5.gif,Blacklight,Eighth,Starry,Afro,Gold Chain,None
6,Groovy #6,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,6.gif,Chrome Wash,Quarter,Cool,Shades,Mic,Treble
7,Groovy #7,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,7.gif,Sunset Strip,Whole,Wink,None,Cans,Stars
8,Groovy #8,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,8.gif,Lava Lamp,Beamed,Groove,Halo,Gold Chain,Vinyl
9,Groovy #9,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,9.gif,Disco Floor,Eighth,Shout,None,None,Bolt
10,Groovy #10,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,10.gif,Velvet Night,Quarter,Starry,Beanie,Cans,None
11,Groovy #11,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,11.gif,Blacklight,Whole,Cool,Shades,Mic,Treble
12,Groovy #12,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,12.gif,Chrome Wash,Beamed,Shout,Afro,None,Stars
13,Groovy #13,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,13.gif,Sunset Strip,Quarter,Groove,Halo,Gold Chain,Bolt
14,Groovy #14,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,14.gif,Lava Lamp,Eighth,Wink,Beanie,Cans,Vinyl
15,Groovy #15,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,15.gif,Disco Floor,Whole,Starry,Afro,None,Treble
16,Groovy #16,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,16.gif,Velvet Night,Beamed,Cool,Shades,Mic,Stars
17,Groovy #17,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,17.gif,Disco Floor,Eighth,Groove,None,Mic,Vinyl
18,Groovy #18,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,18.gif,Sunset Strip,Quarter,Wink,Shades,Cans,None
19,Groovy #19,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,19.gif,Disco Floor,Whole,Groove,Afro,None,Treble
20,Groovy #20,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,20.gif,Chrome Wash,Whole,Wink,Afro,Mic,Stars
21,Groovy #21,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,21.gif,Lava Lamp,Eighth,Groove,None,None,None
22,Groovy #22,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,22.gif,Lava Lamp,Quarter,Wink,None,Gold Chain,None
23,Groovy #23,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,23.gif,Lava Lamp,Eighth,Shout,Afro,Mic,None
24,Groovy #24,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,24.gif,Blacklight,Eighth,Groove,Afro,Cans,Bolt
25,Groovy #25,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,25.gif,Velvet Night,Beamed,Groove,Afro,None,Stars
26,Groovy #26,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,26.gif,Sunset Strip,Quarter,Shout,None,Cans,None
27,Groovy #27,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,27.gif,Blacklight,Quarter,Shout,Shades,Cans,None
28,Groovy #28,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,28.gif,Blacklight,Whole,Wink,Beanie,None,None
29,Groovy #29,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,29.gif,Blacklight,Quarter,Shout,None,Gold Chain,Vinyl
30,Groovy #30,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,30.gif,Disco Floor,Quarter,Groove,Shades,Mic,Bolt
31,Groovy #31,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,31.gif,Velvet Night,Quarter,Starry,Afro,Cans,None
32,Groovy #32,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,32.gif,Sunset Strip,Beamed,Starry,Beanie,Mic,None
33,Groovy #33,A looping musical-note citizen from Groovy Nation. Round heads. Stick limbs. One clock. Minted on Robinhood Chain.,33.gif,Velvet Night,Beamed,Cool,Afro,Cans,Vinyl
